WKT,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,FONTE,VIATURA,DP,TALAO,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,TIPO_PLAC1,TIPO_PLAC2,TIPO_PLAC3,TIPO_ACIDE,Mapinfo_1,Mapinfo_2
"POINT (-46.6489061129165 -23.5343267711101)",D021500157,14750,04012,,,2015/02/07 00:00:00,1500,4,D,,77,776,,,10000000000000000,0200,NO1,70,0122,04012,14750,AU,,,AT,04012&&14750,
"POINT (-46.6523937694197 -23.5327501997948)",D021500158,06263,,835,,2015/02/15 00:00:00,1530,2,D,,77,921,,,20000000000000000,0100,NO1,70,0122,06263,,AU,AU,,CT,835 06263,
"POINT (-46.6521057494372 -23.5428417773607)",D021500159,13622,,85,,2015/02/15 00:00:00,1745,2,D,,77,932,,,20000000000000000,0100,OE1,26,0122,13622,,AU,AU,,CF,85 13622,
"POINT (-46.6467588369508 -23.5468766735248)",D021500160,16957,,554,,2015/02/07 00:00:00,1149,4,D,,77,1114,,,01000000000000000,0100,CN3,67,0122,16957,,MO,,,AT,554 16957,
"POINT (-46.6493322910464 -23.5297189796853)",D021500161,06327,,137,,2015/02/28 00:00:00,2120,4,D,,77,1175,,,10000000000000000,0100,NO1,70,0122,06327,,AU,,,AT,137 06327,
"POINT (-46.6480594228714 -23.5460050215922)",D021500162,00989,,468,,2015/02/09 00:00:00,1955,2,D,,77,1183,,,11000000000000000,0100,CN3,26,0123,00989,,AU,MO,,CO,468 00989,
"POINT (-46.6437203768941 -23.5692967448545)",D021500163,19154,,1815,,2015/02/24 00:00:00,1020,2,D,,78,536,,,10000001000000000,0100,SO1,07,0125,19154,,OU,AU,,CL,1815 19154,
"POINT (-46.6616370222413 -23.5792394473688)",D021500164,12165,03581,,,2015/02/15 00:00:00,0900,2,D,,78,657,,,00000001000000000,0100,SO1,53,0125,03581,12165,OU,,,QD,03581&&12165,
"POINT (-46.6479007118094 -23.5659363887482)",D021500165,12165,,2050,,2015/02/25 00:00:00,1115,4,D,,78,727,,,10000000000000000,0100,SO1,07,0125,12165,,AU,,,AT,2050 12165,
"POINT (-46.6537735199818 -23.5637582296288)",D021500166,15656,15372,,,2015/02/02 00:00:00,2030,4,D,,78,997,,,00000001000000000,0100,OE1,07,0125,15372,15656,OU,,,AT,15372&&15656,
"POINT (-46.6630434261455 -23.5739044448155)",D021500167,08815,,562,,2015/02/05 00:00:00,1430,2,D,,78,1061,,,11000000000000000,0100,SO1,44,0125,08815,,AU,MO,,CO,562 08815,
"POINT (-46.6587598639128 -23.5768566014392)",D021500168,17274,12165,,,2015/02/03 00:00:00,1635,2,D,,78,1088,,,11000000000000000,0100,SO1,53,0125,12165,18798,AU,MO,,CF,12165&&17274,
"POINT (-46.6541085715805 -23.5724879748284)",D021500169,12165,,3000,,2015/02/06 00:00:00,2250,2,D,,78,1106,,,11000000000000000,0100,SO1,44,0125,12165,,AU,MO,,CO,3000 12165,
"POINT (-46.6605361238982 -23.5575063970968)",D021500170,15656,,2240,,2015/02/13 00:00:00,1700,4,D,,78,1311,,,00000000000001000,0100,OE1,26,0125,15656,,AU,,,AT,2240 15656,
"POINT (-46.6507476579098 -23.5695187238458)",D021500171,12165,,2458,,2015/02/16 00:00:00,0247,2,D,,78,1374,,,01000001000000000,0200,SO1,44,0125,12165,,OU,MO,,CO,2458 12165,
"POINT (-46.637540022399 -23.5519259565778)",D021500172,12165,,,NC,2015/02/16 00:00:00,1906,2,D,,78,1391,,,10001000000000000,0100,CN3,80,0125,12165,,AU,BI,,CF,100 12165,
"POINT (-46.6666505715113 -23.5684876918956)",D021500173,06651,17240,,,2015/02/17 00:00:00,0920,2,D,,78,1404,,,10000000000100000,0200,OE1,44,0125,06651,17240,AU,CM,,CO,17240&&06651,
"POINT (-46.6478870441517 -23.568295414127)",D021500174,15656,,460,,2015/02/20 00:00:00,1325,4,D,,78,1484,,,01000000000000000,0100,OE1,07,0125,15656,,MO,,,AT,460 15656,
"POINT (-46.6555226526123 -23.5736051243943)",D021500175,11989,,10,,2015/02/21 00:00:00,1035,2,D,,78,1516,,,01000000000100000,0100,SO1,44,0125,11989,,CM,MO,,CL,10 11989,
"POINT (-46.6707929493024 -23.5682639651679)",D021500176,05175,,375,,2015/02/22 00:00:00,2145,2,D,,78,1559,,,10000000000100000,0200,OE1,44,0125,05175,,CM,AU,,CO,375 05175,
"POINT (-46.6535128641191 -23.5720766669925)",D021500177,12165,11078,,,2015/02/24 00:00:00,0715,2,D,,78,1592,,,01001000000000000,0100,SO1,44,0125,11078,12165,MO,BI,,CO,11078&&12165,
"POINT (-46.6429720535668 -23.5734651672378)",D021500178,00057,,100,,2015/02/25 00:00:00,0330,2,D,,78,1634,,,10000000000100000,0100,SO1,92,0125,00057,,CM,AU,,CT,100 00057,
"POINT (-46.6607239370318 -23.578611046814)",D021500179,10423,12165,,,2015/02/28 00:00:00,1040,2,D,,78,1717,,,10000001000000000,0100,SO1,53,0125,10423,12165,OU,AU,,CO,12165&&10423,
"POINT (-46.6712136852798 -23.5769378822394)",D021500180,14804,07671,,,2015/02/28 00:00:00,1700,2,D,,78,1789,,,11000000000000000,0100,SO1,63,0125,07671,14804,AU,MO,,SI,07671&&14804,
"POINT (-46.6447969564409 -23.6284977725238)",D021500181,09715,,2940,,2015/02/10 00:00:00,0535,2,D,,16,713,,,10000001000000000,0100,SU2,79,0201,09715,,AU,OU,,CT,2940 09715,
"POINT (-46.6359751852634 -23.5971683849543)",D021500182,17755,,50,,2015/02/02 00:00:00,1953,4,D,,16,1153,,,01000000000000000,0100,SU2,92,0201,17755,,MO,,,AT,50 17755,
"POINT (-46.6277625703241 -23.6161932386537)",D021500183,04843,,798,,2015/02/02 00:00:00,2247,2,D,,16,1160,,,11000000000000000,0100,SU2,79,0201,04843,,MO,AU,,CF,798 04843,
"POINT (-46.6247114199048 -23.6114604848)",D021500184,17688,,366,,2015/02/06 00:00:00,1220,2,D,,16,1306,,,01000000000000010,0100,SU1,27,0201,17688,,SI,MO,,CO,366 17688,
"POINT (-46.6451814547226 -23.6259562118931)",D021500185,09159,,3145,,2015/02/06 00:00:00,2330,2,D,,16,1328,,,11000000000000000,0100,SU2,79,0201,09159,,MO,AU,,CO,3145 09159,
"POINT (-46.6548879012736 -23.5958297995999)",D021500186,03502,08944,,,2015/02/02 00:00:00,0740,2,D,,16,1437,,,11000000000000000,0100,SO1,53,0201,03502,08944,MO,AU,,CT,08944&&03502,
"POINT (-46.6260692463445 -23.615530832735)",D021500187,04843,,1000,,2015/02/16 00:00:00,1950,2,D,,16,1651,,,10000000000100000,0200,SU1,27,0201,04843,,AU,CM,,CF,1000 04843,
"POINT (-46.6480842326701 -23.618574106688)",D021500188,00251,09159,,,2015/02/17 00:00:00,1530,2,D,,16,1675,,,20000000000000000,0100,SU2,79,0201,00251,09159,AU,AU,,CO,09159&&00251,
"POINT (-46.6407592046605 -23.6259336964334)",D021500189,09715,,2451,,2015/02/21 00:00:00,0525,2,D,,16,1791,,,11000000000000000,0100,SU2,79,0202,09715,,MO,AU,,CT,2451 09715,
"POINT (-46.6268706433746 -23.6002108951382)",D021500190,09338,,52,,2015/02/21 00:00:00,0730,2,D,,16,1807,,,11000000000000000,0100,SU2,79,0202,09338,,MO,AU,,CL,52 09338,
"POINT (-46.6274032205363 -23.6180437850066)",D021500191,00066,,1549,,2015/02/21 00:00:00,1205,4,D,,16,1808,,,01000000000000000,0200,SU1,27,0202,00066,,MO,,,AT,1549 00066,
"POINT (-46.6482246450735 -23.6026424446015)",D021500192,00833,,1111,,2015/02/26 00:00:00,0900,2,D,,16,1983,,,01000000000100000,0100,SU2,79,0202,00833,,MO,CM,,CO,1111 00833,
"POINT (-46.6408686769074 -23.6231329943937)",D021500193,02065,,262,,2015/02/26 00:00:00,1929,2,D,,16,2009,,,20000000000000000,0100,SU2,79,0202,02065,,AU,AU,,CO,262 02065,
"POINT (-46.6181811094497 -23.6298929549224)",D021500194,05618,,3223,,2015/02/25 00:00:00,1845,2,D,,16,2149,,,11000000000000000,0100,SU1,27,0202,05618,,MO,AU,,CO,3223 05618,
"POINT (-46.5943462357748 -23.5925470226652)",D021500195,02590,19289,,,2015/02/02 00:00:00,1645,2,D,,17,470,B,,01010000000000000,0100,SU1,33,0203,02590,19289,MO,CA,,SI,19289&&02590,
"POINT (-46.5894738178133 -23.594988307193)",D021500196,19958,,5000,,2015/02/05 00:00:00,1413,2,D,,17,477,,,01000000000000000,0100,SU1,33,0203,19958,,MO,,,QM,5000 19958,
"POINT (-46.5879372486385 -23.6002431916545)",D021500197,02590,,1522,NC,2015/02/12 00:00:00,1202,2,D,,17,523,,,10000000000100000,0100,SU1,33,0203,02590,,CM,AU,,CO,1522 02590,
"POINT (-46.6086502054808 -23.5778920824942)",D021500198,03454,,100,,2015/02/13 00:00:00,0950,4,D,,17,540,,,10000000000000000,0100,SU1,33,0203,03454,,AU,,,AT,100 03454,
"POINT (-46.6090233430465 -23.6022529768137)",D021500199,07875,,600,,2015/02/15 00:00:00,0720,2,D,,17,551,,,00100000000000000,0100,SU1,33,0203,07875,,ON,,,CH,600 07875,
"POINT (-46.6131387315481 -23.5927769275754)",D021500200,13526,,1100,,2015/02/20 00:00:00,1400,2,D,,17,603,,,20000000000000000,0100,SU1,33,0203,13526,,AU,AU,,SI,1100 13526,
"POINT (-46.5943462357748 -23.5925470226652)",D021500201,02590,19289,,,2015/02/02 00:00:00,1715,2,D,,17,1163,B,,01010000000000000,0100,SU1,33,0203,02590,19289,MO,CA,,CO,19289&&02590,
"POINT (-46.5970095260528 -23.59849785233)",D021500202,11379,,1200,,2015/02/28 00:00:00,1330,4,D,,17,2071,,,00010000000000000,0100,SU1,33,0203,11379,,CA,,,AT,1200 11379,
"POINT (-46.613092801092 -23.6092302776034)",D021500203,05689,,52,,2015/02/20 00:00:00,0630,4,D,,26,572,,,10000000000000000,0100,SU1,27,0204,05689,,AU,,,AT,52 05689,
"POINT (-46.6129375987402 -23.623129611471)",D021500204,43154,,2168,PXTUNEL MARIA M,2015/02/16 00:00:00,2030,2,D,,26,575,,,20000000000000000,0300,SU1,27,0204,99971,,AU,AU,,CO,2168 43154,
"POINT (-46.6050891111844 -23.6294093253048)",D021500205,14710,,1275,,2015/02/06 00:00:00,0720,2,D,,26,993,,,11000000000000000,0200,SU1,69,0204,14710,,MO,AU,,SI,1275 14710,
"POINT (-46.6107299441271 -23.6165390251836)",D021500206,12421,,315,,2015/02/02 00:00:00,0815,4,D,,26,1300,,,01000000000000000,0100,SU1,27,0204,12421,,MO,,,AT,315 12421,
"POINT (-46.604459636975 -23.6316423509047)",D021500207,02223,18297,,,2015/02/21 00:00:00,0240,2,D,,26,1383,,,11000000000000000,0100,SU1,69,0204,02223,18297,AU,MO,,CL,18297&&02223,
"POINT (-46.6098376842027 -23.6180275389565)",D021500208,14710,43154,,,2015/02/23 00:00:00,0330,2,D,,26,1460,,,01000000000000000,0100,SU1,27,0204,14710,43154,MO,,,QM,43154&&14710,
"POINT (-46.6076469011797 -23.6232555039199)",D021500209,14710,,600,,2015/02/27 00:00:00,0805,2,D,,26,1566,,,11000000000000000,0200,SU1,69,0204,14710,,AU,MO,,CL,600 14710,
"POINT (-46.6844048235889 -23.63020661844)",D021500210,26500,,500,,2015/02/26 00:00:00,1900,2,D,,27,61,,,20000000000000000,0100,SO2,72,0205,26500,,AU,AU,,CT,500 26500,
"POINT (-46.6731963044055 -23.6439857677817)",D021500211,26500,,2400,,2015/02/21 00:00:00,1500,2,D,,27,830,,,11000000000000000,0100,SO2,72,0205,26500,,MO,AU,,CO,2400 26500,
"POINT (-46.6558370384587 -23.6065459136672)",D021500212,00388,,269,,2015/02/01 00:00:00,1524,2,D,,27,958,,,11000000000000000,0100,SO1,53,0205,00388,,MO,AU,,CO,269 00388,
"POINT (-46.6686652667161 -23.6104581941659)",D021500213,08944,09062,,,2015/02/01 00:00:00,2000,2,D,,27,965,,,11000000000000000,0100,SO1,53,0205,08944,22176,MO,AU,,SI,09062&&08944,
"POINT (-46.6764105127317 -23.6186226453001)",D021500214,19692,,520,NC,2015/02/02 00:00:00,1022,4,D,,27,984,,,10000000000000000,0100,SO2,15,0205,19692,,AU,,,AT,520 19692,
"POINT (-46.6708183549701 -23.6160696469775)",D021500215,16356,09764,,,2015/02/02 00:00:00,1751,2,D,,27,995,,,11000000000000000,0100,SO2,15,0205,09764,16356,MO,AU,,CO,09764&&16356,
"POINT (-46.6588363016433 -23.6112842560306)",D021500216,19251,11415,,,2015/02/06 00:00:00,2131,2,D,,27,1114,,,11000000000000000,0100,SO1,53,0205,11415,19251,MO,AU,,CL,11415&&19251,
"POINT (-46.6488922196686 -23.6244261115057)",D021500217,14076,02457,,,2015/02/10 00:00:00,1100,2,D,,27,1243,,,01000000000100000,0100,SU2,79,0205,02457,14076,MO,CM,,CL,02457&&14076,
"POINT (-46.6624130163839 -23.6280274231394)",D021500218,19931,19692,,,2015/02/10 00:00:00,2200,2,D,,27,1257,,,11000000000000000,0200,SU2,15,0205,19692,19931,MO,AU,,CO,19692&&19931,
"POINT (-46.6803366002995 -23.6231258320616)",D021500221,10918,16000,,,2015/02/10 00:00:00,1830,2,D,,27,1258,,,11000000000000000,0100,SO2,15,0206,10918,16000,MO,AU,,CO,16000&&10918,
"POINT (-46.6793208688649 -23.6523553401639)",D021500222,19931,,3000,,2015/02/11 00:00:00,1245,2,D,,27,1282,,,01000000000100000,0100,SU2,22,0206,19931,,MO,CM,,CO,3000 19931,
"POINT (-46.7040575084423 -23.6607227001454)",D021500223,19931,,,NC,2015/02/12 00:00:00,1316,2,D,,27,1311,,,11000000000000000,0100,SU3,16,0206,19931,,MO,AU,,CO,100 19931,
"POINT (-46.675968692981 -23.6185590603242)",D021500224,10918,,3346,,2015/02/12 00:00:00,1433,4,D,,27,1320,C,,10000000000000000,0100,SO2,15,0206,10918,,AU,,,AT,3346 10918,
"POINT (-46.6877771917653 -23.6067323354277)",D021500225,08377,05208,,,2015/02/13 00:00:00,1700,2,D,,27,1393,,,20000000000000000,0100,SO2,34,0206,05208,08377,AU,AU,,CO,05208&&08377,
"POINT (-46.6695862156439 -23.635382159419)",D021500226,19931,10586,,,2015/02/14 00:00:00,1900,2,D,,27,1402,,,01000000000000000,0100,SU2,15,0206,10586,19931,MO,,,QM,10586&&19931,
"POINT (-46.6619759659347 -23.6188842129163)",D021500227,24405,,1000,,2015/02/17 00:00:00,1758,2,D,,27,1469,,,30000000000000000,0100,SU2,15,0206,24405,,AU,AU,AU,CO,1000 24405,
"POINT (-46.6712972080596 -23.6198025073105)",D021500228,16511,10076,,,2015/02/17 00:00:00,2245,2,D,,27,1476,,,20000000000000000,0100,SO2,15,0206,10076,16511,AU,AU,,CL,10076&&16511,
"POINT (-46.6666442107709 -23.6221118059554)",D021500229,17518,,1522,,2015/02/04 00:00:00,0945,2,D,,27,1520,,,01000000000000000,0100,SO2,15,0206,17518,,MO,,,QM,1522 17518,
"POINT (-46.6977817084344 -23.6414922272296)",D021500230,10918,,,NC,2015/02/11 00:00:00,0845,2,D,,27,1529,,,11000000000000000,0100,SO2,72,0207,10918,,MO,AU,,CO,100 10918,
"POINT (-46.6778460886543 -23.6364320673786)",D021500231,26500,,1487,,2015/02/28 00:00:00,0743,2,D,,27,1773,,,00000001000000000,0100,SO2,15,0207,26500,,OU,,,QD,1487 26500,
"POINT (-46.6560086283105 -23.637944298865)",D021500232,15887,,1400,,2015/02/28 00:00:00,1729,2,D,,27,1790,,,00000001000000000,0100,SU2,15,0207,15887,,OU,,,CH,1400 15887,
"POINT (-46.6900584696606 -23.6540784956955)",D021500233,19931,,1576,,2015/02/28 00:00:00,0535,2,D,,27,2372,,,20000000000000000,0100,SU2,16,0207,19931,,AU,AU,,CT,1576 19931,
"POINT (-46.6360594868979 -23.6571715723987)",D021500234,02235,,3305,,2015/02/12 00:00:00,0900,2,D,,35,353,,,00000000000100000,0100,SU2,37,0208,02235,,CM,,,CH,3305 02235,
"POINT (-46.6623629546793 -23.6475851313572)",D021500235,04596,,1415,,2015/02/05 00:00:00,0745,4,D,,35,666,,,10000000000000000,0100,SU2,37,0208,04596,,AU,,,AT,1415 04596,
"POINT (-46.6470412713074 -23.6316133905142)",D021500236,15887,,16,,2015/02/12 00:00:00,0730,2,D,,35,739,,,11000000000000000,0100,SU2,37,0208,15887,,AU,MO,,CO,16 15887,
"POINT (-46.6365338005771 -23.6271927137094)",D021500237,03325,06883,,,2015/02/12 00:00:00,1333,2,D,,35,747,,,11000000000000000,0100,SU2,79,0208,03325,06883,AU,MO,,CT,06883&&03325,
"POINT (-46.6405718226058 -23.6266505091733)",D021500238,06883,,100,,2015/02/13 00:00:00,1220,2,D,,35,767,,,11000000000000000,0100,SU2,79,0208,06883,,AU,MO,,SI,100 06883,
"POINT (-46.6414067006483 -23.640221011836)",D021500239,02235,,1450,,2015/02/24 00:00:00,0620,2,D,,35,870,,,01100000000000000,0100,SU2,37,0208,02235,,ON,MO,,SI,1450 02235,
"POINT (-46.6302577284782 -23.6262516571773)",D021500240,06883,05786,,,2015/02/20 00:00:00,1730,2,D,,35,911,,,11000000000000000,0100,SU2,79,0208,05786,06883,AU,MO,,CL,05786&&06883,
"POINT (-46.6565411451631 -23.6603459758015)",D021500242,19789,,73,,2015/02/25 00:00:00,1645,2,D,,35,938,,,10000000000100000,0100,SU2,37,0208,19789,,CM,AU,,CF,73 19789,
"POINT (-46.6281555591011 -23.629045115909)",D021500243,36098,,10,,2015/02/26 00:00:00,1420,2,D,,35,939,,,21000000000000000,0200,SU1,27,0208,36098,,AU,MO,AU,CT,10 36098,
"POINT (-46.6299159673058 -23.6261961003865)",D021500244,06883,,1115,,2015/02/27 00:00:00,0804,2,D,,35,948,,,10001000000000000,0100,SU2,79,0209,06883,,AU,BI,,CO,1115 06883,
"POINT (-46.665900677011 -23.6524708157516)",D021500245,05965,,600,,2015/02/05 00:00:00,0005,2,D,,35,1251,,,40000002000000000,0300,SU2,37,0209,05965,,AU,OU,AU,CO,600 05965,
"POINT (-46.6429329941265 -23.6395010347879)",D021500246,07882,05634,,,2015/02/05 00:00:00,1930,4,D,,35,1276,,,01000000000000000,0100,SU2,37,0209,05634,07882,MO,,,AT,05634&&07882,
"POINT (-46.6299088631552 -23.6262872901188)",D021500247,06883,,1197,,2015/02/05 00:00:00,1830,2,D,,35,1284,,,10000000000000000,0100,SU2,79,0209,06883,,AU,,,CH,1197 06883,
"POINT (-46.6535820973856 -23.6576035255055)",D021500248,04596,,2867,,2015/02/06 00:00:00,2104,4,D,,35,1327,,,00001000000000000,0100,SU2,37,0209,04596,,BI,,,AT,2867 04596,
"POINT (-46.6594668863869 -23.64581853398)",D021500249,00449,,1156,,2015/02/08 00:00:00,0346,2,D,,35,1353,,,10000000000100000,0100,SU2,37,0209,00449,,CM,AU,,CH,1156 00449,
"POINT (-46.6450239535154 -23.6301298291834)",D021500250,02075,,25,,2015/02/08 00:00:00,1900,4,D,,35,1378,,,10000000000000000,0100,SU2,79,0210,02075,,AU,,,AT,25 02075,
"POINT (-46.6564430606883 -23.663539802699)",D021500251,06146,,220,,2015/02/27 00:00:00,2300,2,D,,35,1588,,,11000000000000000,0100,SU2,37,0210,06146,,AU,MO,,CL,220 06146,
"POINT (-46.6600678524638 -23.648777049824)",D021500252,03585,,571,,2015/02/18 00:00:00,1600,2,D,,35,1718,,,11000000000000000,0100,SU2,37,0210,03585,,AU,MO,,CL,571 03585,
"POINT (-46.6548488379912 -23.6414171223185)",D021500253,00449,,830,,2015/02/25 00:00:00,1500,4,D,,35,1956,,,01000000000000000,0100,SU2,37,0210,00449,,MO,,,AT,830 00449,
"POINT (-46.6411508274882 -23.6371913828302)",D021500254,02235,,995,,2015/02/25 00:00:00,2149,4,D,,35,1961,,,10000000000000000,0200,SU2,37,0210,02235,,AU,,,AT,995 02235,
"POINT (-46.6300802063347 -23.6263603503858)",D021500255,06883,,1178,,2015/02/27 00:00:00,0800,4,D,,35,2043,,,00000000000000010,0100,SU2,79,0210,06883,,SI,,,AT,1178 06883,
"POINT (-46.6529594329211 -23.5856411535806)",D021500256,10630,21198,,,2015/02/03 00:00:00,1100,2,D,,36,341,,,11000000000000000,0100,SU2,53,0211,10630,21198,AU,MO,,CL,21198&&10630,
"POINT (-46.6439584303561 -23.5846830305646)",D021500257,17301,08793,,,2015/02/10 00:00:00,0630,2,D,,36,424,,,00101000000000000,0100,SU2,92,0211,08793,17301,ON,BI,,CF,08793&&17301,
"POINT (-46.651003991865 -23.5817741710929)",D021500258,19764,10639,,,2015/02/11 00:00:00,1605,2,D,,36,436,,,11000000000000000,0100,SU2,53,0211,10639,19764,AU,MO,,CL,10639&&19764,
"POINT (-46.6343618786104 -23.5878581102822)",D021500259,14642,,105,,2015/02/13 00:00:00,1227,4,D,,36,455,,,10000000000000000,0100,SU1,92,0211,14642,,AU,,,AT,105 14642,
"POINT (-46.6462319145218 -23.5770170260992)",D021500260,18911,,500,,2015/02/13 00:00:00,1630,2,D,,36,467,,,10001000000000000,0100,SO1,92,0211,18911,,AU,BI,,CO,500 18911,
"POINT (-46.6532548766726 -23.5848466018067)",D021500261,07382,,2013,,2015/02/16 00:00:00,1812,2,D,,36,489,,,11000000000000000,0100,SU2,53,0211,07382,,AU,MO,,CO,2013 07382,
"POINT (-46.6547871612298 -23.5958445991083)",D021500262,08944,03502,,,2015/02/07 00:00:00,0040,2,D,,36,491,,,00100000000000000,0100,SO1,53,0211,03502,08944,ON,,,QD,03502&&08944,
"POINT (-46.6511658561634 -23.5917567964631)",D021500263,02394,,138,,2015/02/20 00:00:00,1030,2,D,,36,500,,,30000000000000000,0100,SU2,53,0211,02394,,AU,AU,AU,CO,138 02394,
"POINT (-46.6471416256469 -23.5791789756193)",D021500264,19764,,10000,,2015/02/27 00:00:00,1530,2,D,,36,582,,,11000000000000000,0100,SU2,92,0211,19764,,AU,MO,,SI,,10000 197645
"POINT (-46.6449347508274 -23.5886176422378)",D021500265,07318,02567,,,2015/02/27 00:00:00,1212,2,D,,36,611,,,10001000000000000,0100,SU2,92,0212,02567,07318,AU,BI,,CO,02567&&07318,
"POINT (-46.6522056274259 -23.5888445131892)",D021500266,99481,,100,,2015/02/06 00:00:00,1730,2,D,,36,1150,,,11000000000000000,0100,SU2,53,0212,99481,,AU,MO,,CO,100 99481,
"POINT (-46.6625394579219 -23.6168398016203)",D021500267,08345,19100,,,2015/02/14 00:00:00,0746,2,D,,36,1371,,,12000000000000000,0100,PB,53,0212,08345,19100,AU,MO,MO,SI,19100&&08345,
"POINT (-46.6515067492264 -23.5736577011239)",D021500268,19271,,274,,2015/02/14 00:00:00,2003,4,D,,36,1401,,,01000000000000000,0100,SO1,92,0212,19271,,MO,,,AT,274 19271,
"POINT (-46.6519644903257 -23.5893448232893)",D021500270,99481,,10,,2015/02/17 00:00:00,2110,2,D,,36,1478,,,20000000000000000,0100,SU2,53,0212,99481,,AU,AU,,CO,10 99481,
"POINT (-46.6560006801419 -23.6114899042656)",D021500271,35829,,500,,2015/02/28 00:00:00,1114,2,D,,36,1837,,,01000000000000010,0100,SU2,53,0212,35829,,MO,SI,,SI,500 35829,
"POINT (-46.5888882581763 -23.6422574456012)",D021500272,28670,,100,,2015/02/01 00:00:00,1100,2,D,,83,203,,,11000000000000000,0100,SU1,69,0213,28670,,AU,MO,,CL,100 28670,
"POINT (-46.5962809208731 -23.644049524061)",D021500273,01532,,103,,2015/02/02 00:00:00,1650,2,D,,83,234,,,10001000000000000,0100,SU1,69,0213,01532,,AU,BI,,CO,103 01532,
"POINT (-46.6143255559682 -23.652951193069)",D021500274,05618,,6000,,2015/02/06 00:00:00,1022,2,D,,83,240,,,51000000000000000,0200,SU1,27,0213,05618,,AU,AU,AU,CO,6000 05618,
"POINT (-46.6125229032006 -23.6428365539762)",D021500276,05618,,4885,,2015/02/12 00:00:00,0700,2,D,,83,273,,,01000000000100000,0100,SU1,69,0213,05618,,CM,MO,,CL,4885 05618,
"POINT (-46.6143255559682 -23.652951193069)",D021500277,05618,,6000,,2015/02/17 00:00:00,1515,2,D,,83,309,,,11000000000000000,0100,SU1,27,0213,05618,,AU,MO,,CO,6000 05618,
"POINT (-46.5977570377598 -23.6494553058013)",D021500278,02109,,74,,2015/02/22 00:00:00,1920,4,D,,83,345,,,01000000000000000,0100,SU1,69,0213,02109,,MO,,,AT,74 02109,
"POINT (-46.6208466889651 -23.6512555259467)",D021500279,13915,,4500,,2015/02/03 00:00:00,1700,2,D,,83,951,,,01000000000000000,0200,SU1,37,0213,13915,,MO,,,QM,4500 13915,
"POINT (-46.6065596621713 -23.6457080527968)",D021500280,04952,,23,,2015/02/07 00:00:00,1857,2,D,,83,1066,,,11000000000000000,0100,SU1,69,0213,04952,,AU,MO,,CL,23 04952,
"POINT (-46.6016603368888 -23.6519770096956)",D021500281,07334,05987,,,2015/02/20 00:00:00,1730,2,D,,83,1379,,,00000000000000010,0100,SU1,69,0214,05987,07334,SI,,,SI,05987&&07334,
"POINT (-46.5971456948517 -23.6080233018041)",D021500282,11562,,495,,2015/02/06 00:00:00,0823,2,D,,95,439,,,00100000000000000,0100,SU1,69,0215,11562,,ON,,,QD,495 11562,
"POINT (-46.5978111749275 -23.6005269450262)",D021500283,11379,,1425,,2015/02/01 00:00:00,2200,4,D,,95,498,,,10000000000000000,0100,SU1,33,0215,11379,,AU,,,AT,1425 11379,
"POINT (-46.5855035649037 -23.6432532846138)",D021500284,13027,,12,,2015/02/13 00:00:00,1430,2,D,,95,519,,,01000000000100000,0100,SU1,69,0215,13027,,MO,CM,,CO,12 13027,
"POINT (-46.5964640715553 -23.61803314501)",D021500285,00609,,1200,,2015/02/07 00:00:00,1230,4,D,,95,624,,,00000000000100000,0100,SU1,69,0215,00609,,CM,,,AT,1200 00609,
"POINT (-46.5939452931788 -23.6069852885533)",D021500286,19981,,316,NC,2015/02/26 00:00:00,0634,4,D,,95,633,,,00000000000100000,0100,SU1,69,0215,19981,,CM,,,AT,316 19981,
"POINT (-46.6017140477793 -23.6191109033783)",D021500287,01247,,11000,,2015/02/26 00:00:00,1125,2,D,,95,643,C,,11000000000000000,0100,RV1,69,0215,01247,,MO,AU,,CL,,11000 012475
"POINT (-46.6073888937568 -23.6123433265749)",D021500288,43154,19583,,,2015/02/05 00:00:00,0130,2,D,,95,723,,,11000000000000000,0100,SU1,27,0215,19583,43154,AU,MO,,CO,19583&&43154,
"POINT (-46.5834455790396 -23.6110751554952)",D021500289,05762,,1500,,2015/02/08 00:00:00,0040,4,D,,95,1074,,,10000000000000000,0100,SU1,69,0215,05762,,AU,,,AT,1500 05762,
"POINT (-46.5920301135629 -23.6213231277346)",D021500290,11562,,2090,,2015/02/11 00:00:00,2230,2,D,,95,1175,,,01001000000000000,0100,SU1,69,0215,11562,,BI,MO,,CO,2090 11562,
"POINT (-46.6001678837944 -23.6008671384215)",D021500291,99200,,1,,2015/02/14 00:00:00,2345,2,D,,95,1251,,,00010000000100000,0100,SU1,33,0215,99200,,CM,CA,,CO,1 05762,
"POINT (-46.6025601865358 -23.6143621463369)",D021500292,07621,,46,,2015/02/16 00:00:00,1859,4,D,,95,1290,,,10000000000000000,0100,SU1,69,0216,07621,,AU,,,AT,46 07621,
"POINT (-46.6000415338471 -23.6101644632431)",D021500293,01247,,940,,2015/02/28 00:00:00,0152,2,D,,95,1592,,,20020000000000000,0300,RV1,69,0216,01247,,CA,CA,AU,CO,940 01247,
