WKT,Id_acident,Cadloga,Cadlogb,Alt_num,Referencia,Data,Hora,Cod_acid,Fonte,Viatura,Dp,Talao,Sentido,Pista,Veiculos,Vitimas,Dec,Distrito,Folha,Princ_a,Princ_b,Placa1,Tipo_plac1,Placa2,Tipo_plac2,Placa3,Tipo_plac3,Tipo_acide,Flag_dupl,Nv_dupl,Duplacas,Cadlog
"POINT (-46.657588 -23.552133)",D051202467,05245,,1769,,2012/05/05,0440,2,D,,14,4471,C,,10000000000000000,0301,,,0001,05245,,FAI9894,AU,,,,,CP,,,,
"POINT (-46.45723 -23.512593)",D051202545,46936,,,PXAV SAPOPEMBA,2012/05/26,0425,2,D,,49,7208,,,10000000000000000,0101,,,0009,46936,,FAQ0673,AU,,,,,CH,,,,
"POINT (-46.710597 -23.645971)",D051201719,17122,,,PXR PDE JOSE AN,2012/05/25,0553,2,D,,11,5869,,,01100000000000000,0100,,,0606,01243,,HFJ1423,MO,EFU0867,ON,,,SI,,,,
"POINT (-46.688187 -23.731225)",D051201979,10036,,1140,,2012/05/22,0728,4,D,,101,2208,,,01000000000000000,0100,,,0646,10036,,HFJ1423,MO,,,,,AT,,,,
"POINT (-46.747955 -23.639371)",D051202551,73138,,58,,2012/05/02,1317,4,D,,01,4285,,,01000000000000000,0001,,,0011,73138,,,MO,,,,,AT,,,,
"POINT (-46.398938 -23.599187)",D051202359,99917,,54,,2012/05/04,1800,4,D,,54,6131,,,00000000000000010,0100,,,0815,99917,,,SI,,,,,AT,,,,
"POINT (-46.398938 -23.599187)",D051202363,99917,,54,,2012/05/04,1810,4,D,,54,2009,,,10000000000000000,0100,,,0816,99917,,EVO2424,AU,,,,,AT,,,,
"POINT (-46.503364 -23.486518)",D051202502,02429,,5950,,2012/05/05,1343,4,D,,53,2998,,,00000000000000010,0001,,,0004,02429,,,SI,,,,,AT,,,,
"POINT (-46.637934 -23.556083)",D051200010,33667,,,SBVD GUILHERME,2012/05/08,1000,2,D,,01,2650,B,,11000000000000000,0100,,,0102,33667,,EUV6927,AU,GJV5000,MO,,,CO,,,,
"POINT (-46.637934 -23.556083)",D051200030,33667,,,SBVD DO GLICERI,2012/05/08,1030,2,D,,01,4323,,,12000000000000000,0100,,,0105,33667,,BZQ5137,AU,DOB6198,MO,DLN4266,MO,CT,,,,
"POINT (-46.667992 -23.597625)",D051202479,19295,05910,,,2012/05/11,2242,4,D,,14,4795,,,11000000000000000,0101,,,0002,05910,19295,,AU,DOV9621,MO,,,AT,,,,
"POINT (-46.710756 -23.559844)",D051200947,12502,,,PXPTE DO MORUMB,2012/05/11,1800,2,D,,89,3511,,,21000000000000000,0100,,,0357,13014,,EQP2647,MO,EZJ3165,AU,HNU5884,AU,CO,,,,
"POINT (-46.751994 -23.526832)",D051201025,34348,,,PXPTE JAGUARE,2012/05/11,1820,2,D,,93,4663,,,11000000000000000,0100,,,0367,13014,,LSG0574,AU,DNJ7082,MO,,,CO,,,,
"POINT (-46.604888 -23.506628)",D051201035,10622,04896,,,2012/05/12,1210,4,D,,09,4929,,,00000000000000010,0100,,,0401,04896,10622,,SI,,,,,AT,,,,
"POINT (-46.604888 -23.506628)",D051201034,10622,04896,,,2012/05/12,1213,4,D,,09,2642,B,,10000000000000000,0100,,,0401,04896,10622,BQZ1896,AU,,,,,AT,,,,
"POINT (-46.54254 -23.539446)",D051201468,02181,11325,,,2012/05/13,1625,2,D,,10,4901,,,20000000000000000,0100,,,0504,02181,11325,EBZ1906,AU,EYW2597,AU,,,CT,,,,
"POINT (-46.650752 -23.548289)",D051200108,05245,,960,,2012/05/15,1401,2,D,,04,2980,B,,01000000000100000,0100,,,0114,05245,,CGL3553,CM,EIE6733,MO,,,CO,,,,
"POINT (-46.650929 -23.548344)",D051200109,05245,,988,,2012/05/15,1430,2,D,,04,2982,,,11000000000000000,0100,,,0114,05245,,HNG6646,AU,EXB8381,MO,,,CO,,,,
"POINT (-46.556571 -23.525382)",D051201472,36081,,,NC,2012/05/15,2200,2,D,,10,4972,B,,01000000000000010,0100,,,0504,36081,,EJW8061,MO,,SI,,,CO,,,,
"POINT (-46.495748 -23.616378)",D051202553,74855,,135,,2012/05/20,2130,4,D,,56,4165,,,10000000000000000,0001,,,0011,74855,,,AU,,,,,AT,,,,
"POINT (-46.672838 -23.592026)",D051202527,00999,,900,,2012/05/25,1630,2,D,,16,6303,,,01100000000000000,0001,,,0007,00999,,,MO,,ON,,,CO,,,,
"POINT (-46.672699 -23.593358)",D051200605,00999,,1031,,2012/05/25,1655,2,D,,15,3037,,,11000000000000000,0100,,,0314,00999,,DGY1077,MO,EMH7702,AU,,,CT,,,,
"POINT (-46.464842 -23.540787)",D051202239,98912,,,PXR MARGARIDA C,2012/05/25,1820,2,D,,68,1498,,,11000000000000000,0100,,,0735,98912,,JQM2643,MO,CSW4721,AU,,,SI,,,,
"POINT (-46.464842 -23.540787)",D051202240,98912,,,PXR MARGARIDA C,2012/05/25,1824,2,D,,68,1499,,,01010000000000000,0100,,,0735,98912,,EHH5768,MO,CGR1965,CA,,,SI,,,,
"POINT (-46.414094 -23.491209)",D051202552,00399,,54,,2012/05/27,1905,2,D,,50,5953,,,11000000000000000,0101,,,0011,00399,,,MO,CAH2010,AU,,,CO,,,,
"POINT (-46.635312 -23.500966)",D051200872,16878,,14100,,2012/05/29,0820,2,D,,51,2407,,,11000000000000000,0100,,,0348,16878,,EVC8147,AU,BPS0479,MO,,,SI,,,,
"POINT (-46.489923 -23.49788)",D051200871,16878,,14300,,2012/05/29,0820,2,D,,51,2404,,,11000000000000000,0100,,,0348,16878,,DRA8116,AU,DGT5544,MO,,,CO,,,,
"POINT (-46.785495 -23.661422)",D051202488,06493,,637,,2012/05/31,1330,4,D,,14,5469,,,00000000000000010,0001,,,0003,06493,,,SI,,,,,AT,,,,
"POINT (-46.781911 -23.701386)",D051202531,12403,,6799,,2012/05/31,1935,2,D,,47,5966,,,31000000000000000,0001,,,0007,12403,,EQR2839,MO,,AU,DTS6300,AU,CT,,,,
"POINT (-46.636152 -23.520265)",D061200001,06642,,,NC,2012/06/01,0050,2,D,,01,3731,,,10000000000000000,0100,SI,09,0101,06642,,DJL0304,AU,,,,,SI,,,,
"POINT (-46.628549 -23.555007)",D061200002,08024,19503,,,2012/06/10,0010,4,D,,01,3941,,,10000000000000000,0100,CT,80,0101,08024,19503,EMW7066,AU,,,,,AT,,,,
"POINT (-46.632834 -23.539348)",D061200003,16725,07204,,,2012/06/10,0700,2,D,,01,3950,,,10000000000000000,0100,CT,80,0101,07204,16725,HJU6775,AU,,,,,TB,,,,
"POINT (-46.636152 -23.520265)",D061200004,06642,,,PXE.E SAO PAULO,2012/06/15,0004,4,D,,01,4107,,,30000000000000000,0100,SI,09,0101,06642,,EUY7155,AU,DNO5775,AU,EEV5257,AU,AT,,,,
"POINT (-46.628511 -23.556259)",D061200005,35647,,,PXLIG LESTE OES,2012/06/15,0230,2,D,,01,4110,,,10000000000000000,0100,CT,10,0101,35647,,EUO3248,AU,,,,,CH,,,,
"POINT (-46.628174 -23.554491)",D061200006,08024,,221,,2012/06/16,0005,4,D,,01,4140,,,00000000000000010,0100,CT,49,0101,08024,,,SI,,,,,AT,,,,
"POINT (-46.640406 -23.551288)",D061200007,01003,,282,,2012/06/22,1900,4,D,,01,4333,,,10000000000000000,0100,CT,07,0101,01003,,FSF4515,AU,,,,,AT,,,,
"POINT (-46.634407 -23.551895)",D061200008,10376,,99,,2012/06/27,1200,2,D,,01,4909,,,11000000000000000,0100,CT,80,0102,10376,,,AU,EJR2869,MO,,,CL,,,,
"POINT (-46.458509 -23.60882)",D061200009,21083,,2000,,2012/06/29,1400,2,D,,01,4915,,,11000000000000000,0100,VA,75,0102,21083,,EXD4043,MO,DMA0885,AU,,,CO,,,,
"POINT (-46.635022 -23.522226)",D061200010,06642,,306,,2012/06/02,1300,2,D,,01,5107,C,,01000000000200000,0100,CT,09,0102,06642,,DYN3136,MO,FGL0004,CM,DVK3945,CM,CO,,,,
"POINT (-46.636121 -23.551901)",D061200011,15635,,100,,2012/06/04,1645,2,D,,01,5160,,,11000000000000000,0100,CT,67,0102,15635,,DVH8455,MO,EDV6570,AU,,,CO,,,,
"POINT (-46.636345 -23.559619)",D061200012,18698,,,NC,2012/06/05,1350,4,D,,01,5192,,,10000000000000000,0100,CT,49,0102,18698,,DWD4253,AU,,,,,AT,,,,
"POINT (-46.635974 -23.55851)",D061200013,09032,,110,,2012/06/05,1510,4,D,,01,5197,,,10000000000000000,0100,CT,49,0102,09032,,DNA1617,AU,,,,,AT,,,,
"POINT (-46.628185 -23.547449)",D061200014,06642,,3779,,2012/06/07,1126,4,D,,01,5248,,,10000000000000000,0100,CT,09,0102,06642,,DTB1945,AU,,,,,AT,,,,
"POINT (-46.629429 -23.558885)",D061200015,18777,,308,,2012/06/06,1330,2,D,,01,5276,,,20000000000000000,0100,IP,49,0102,18777,,DTP5711,AU,DWS7320,AU,,,CO,,,,
"POINT (-46.635397 -23.550861)",D061200016,16744,,254,,2012/06/08,1350,4,D,,01,5277,,,00000000000100000,0100,CT,80,0102,16744,,EJH8556,CM,,,,,AT,,,,
"POINT (-46.631683 -23.552672)",D061200017,18556,,122,,2012/06/14,1640,4,D,,01,5475,,,01000000000000000,0100,CT,80,0102,18556,,MRC9339,MO,,,,,AT,,,,
"POINT (-46.628967 -23.542395)",D061200018,06642,,3200,,2012/06/15,1810,4,D,,01,5551,,,01000000000000000,0100,CT,09,0102,06642,,,MO,,,,,AT,,,,
"POINT (-46.631216 -23.546241)",D061200019,15984,,,NC,2012/06/16,1500,4,D,,01,5530,,,10000000000000000,0100,CT,80,0103,15984,,EZL6582,AU,,,,,AT,,,,
