WKT,Id_acident,Cadloga,Cadlogb,Alt_num,Referencia,Data,Hora,Cod_acid,Fonte,Viatura,Dp,Talao,Sentido,Pista,Veiculos,Vitimas,Dec,Distrito,Folha,Princ_a,Princ_b,Placa1,Tipo_plac1,Placa2,Tipo_plac2,Placa3,Tipo_plac3,Tipo_acide,Flag_dupl,Nv_dupl,Duplacas,Cadlog
"POINT (-46.729426 -23.624228)",D011200001,99078,,181,,2012/01/01,0139,4,D,,01,02,,,00000000000100000,0100,CT,80,0101,99078,,DSC5232,CM,,,,,AT,,,,
"POINT (-46.6395 -23.551991)",D011200002,13317,,201,,2012/01/01,0816,2,D,,01,08,,,10000000000000000,0300,CT,17,0101,13317,,DSF9060,AU,,,,,CH,,,,
"POINT (-46.632946 -23.556366)",D011200003,33306,,,NC,2012/01/02,1508,2,D,,01,25,,,01000000000000000,0100,HG,02,0101,33667,,EXB8880,MO,,,,,QM,,,,
"POINT (-46.636313 -23.55654)",D011200004,33667,,100,,2012/01/03,1320,2,D,,01,55,,,01000000000000000,0100,CT,02,0101,33667,,EOY6234,MO,,,,,QM,,,,
"POINT (-46.633518 -23.548919)",D011200005,20418,,,NC,2012/01/03,2200,4,D,,01,67,,,00000000000000010,0100,CT,01,0101,20418,,,SI,,,,,AT,,,,
"POINT (-46.631216 -23.546241)",D011200006,15984,,,NC,2012/01/04,1206,4,D,,01,93,,,01000000000000000,0200,CT,01,0101,15984,,DZL0681,MO,,,,,AT,,,,
"POINT (-46.6261 -23.547376)",D011200007,16870,,,NC,2012/01/04,1340,4,D,,01,95,,,00100000000000000,0100,SI,01,0101,16870,,DTB2593,ON,,,,,AT,,,,
"POINT (-46.635396 -23.551198)",D011200008,17025,16744,,,2012/01/07,0641,4,D,,01,182,,,00000001000000000,0100,SI,80,0101,16744,17025,DJB5762,OU,,,,,AT,,,,
"POINT (-46.630396 -23.552563)",D011200009,18556,18210,,,2012/01/07,1500,2,D,,01,196,,,00000000000200000,0600,SI,80,0102,18210,18556,ETK7908,CM,BPT5748,CM,,,CO,,,,
"POINT (-46.636152 -23.520265)",D011200010,06642,,,PXMERCADO MUNIC,2012/01/09,1640,4,D,,01,250,,,00000000000000010,0100,SI,09,0102,06642,,,SI,,,,,AT,,,,
"POINT EMPTY",D011200011,19764,02795,,,2012/01/25,1352,4,D,,01,279,,,10000000000000000,0100,SI,67,0102,15261,17025,CRO3581,AU,,,,,AT,,,,
"POINT (-46.629714 -23.544293)",D011200012,06642,,3350,,2012/01/10,1440,2,D,,01,292,C,,11000000000000000,0100,CT,09,0102,06642,,EYC8039,AU,DUV3432,MO,,,CO,,,,
"POINT (-46.634832 -23.557256)",D011200013,01088,,154,,2012/01/15,0152,2,D,,01,317,,,20000000000000000,0100,CT,49,0102,01088,,GOO4458,AU,LUE0857,AU,,,CH,,,,
"POINT (-46.637481 -23.551228)",D011200015,19764,,,PXVD JACEGUAI,2012/01/12,0835,2,D,,01,345,,,01000000000000000,0100,VM,80,0102,19764,,EFC7567,MO,,,,,QM,,,,
"POINT (-46.616396 -23.54291)",D011200016,16870,,300,,2012/01/12,1110,4,D,,01,354,,,01000000000000000,0100,CT,01,0102,16870,,DUY8225,MO,,,,,AT,,,,
"POINT (-46.637934 -23.556083)",D011200017,33667,,,NC,2012/01/13,1200,2,D,,01,393,,,20000000000000000,0100,CT,02,0102,33667,,EGS0749,AU,DWN4636,AU,,,CT,,,,
"POINT (-46.637548 -23.549422)",D011200018,11824,07335,,,2012/01/16,0805,2,D,,01,447,,,00000001000000000,0100,CT,80,0103,07335,11824,ECT1238,OU,,,,,QD,,,,
"POINT (-46.629488 -23.55682)",D011200019,08024,15674,,,2012/01/22,2330,2,D,,01,478,,,10001000000000000,0100,CT,49,0103,08024,15674,,BI,DQQ0189,AU,,,CO,,,,
"POINT (-46.626322 -23.544157)",D011200020,13853,,100,,2012/01/17,0720,4,D,,01,481,,,01000000000000000,0200,CT,09,0103,13853,,JLV6195,MO,,,,,AT,,,,
"POINT (-46.63626 -23.550919)",D011200021,17025,,268,,2012/01/23,2121,4,D,,01,501,,,00000000000000010,0100,CT,01,0103,17025,,,SI,,,,,AT,,,,
"POINT (-46.62835 -23.557236)",D011200022,18777,,99,,2012/01/18,1040,2,D,,01,514,,,11000000000000000,0100,IP,02,0103,18777,,ATQ1905,AU,EQD0584,MO,,,CO,,,,
"POINT (-46.628744 -23.538767)",D011200024,15629,04146,,,2012/01/30,0331,2,D,,01,642,,,11000000000000000,0300,IP,80,0103,04146,15629,EFU7799,AU,EKF3693,MO,,,SI,,,,
"POINT (-46.636121 -23.551901)",D011200025,15635,,100,,2012/01/23,0500,2,D,,01,649,,,10000000000000000,0200,CT,80,0103,15635,,DST7648,AU,,,,,CP,,,,
"POINT (-46.625304 -23.55295)",D011200026,07122,,100,,2012/01/23,0650,2,D,,01,650,,,02000000000000000,0100,CT,10,0103,07122,,DOA0277,MO,DJU2486,MO,,,CO,,,,
"POINT (-46.631216 -23.546241)",D011200027,15984,,,NC,2012/01/23,1800,4,D,,01,694,,,00000000000000010,0100,CT,01,0103,15984,,,SI,,,,,AT,,,,
"POINT (-46.634996 -23.558395)",D011200028,09032,07733,,,2012/01/24,1053,4,D,,01,713,,,10000000000000000,0100,CT,49,0104,07733,09032,DIM4703,AU,,,,,AT,,,,
"POINT (-46.631393 -23.541725)",D011200029,00275,,83,,2012/01/24,1417,4,D,,01,721,,,10000000000000000,0100,CT,80,0104,00275,,FAB8095,AU,,,,,AT,,,,
"POINT (-46.636578 -23.556942)",D011200030,11818,,450,,2012/01/24,1710,2,D,,01,732,,,11000000000000000,0100,CT,49,0104,11818,,CTI2864,AU,DYN9327,MO,,,CO,,,,
"POINT (-46.6284 -23.541243)",D011200031,06642,13853,,,2012/01/26,0600,4,D,,01,754,,,10000000000000000,0100,CT,80,0104,06642,13853,ERZ7347,AU,,,,,AT,,,,
"POINT (-46.629872 -23.552655)",D011200032,18556,,312,,2012/01/26,1910,2,D,,01,797,,,11000000000000000,0100,CT,01,0104,18556,,ETA9587,AU,DYV0248,MO,,,CO,,,,
"POINT (-46.6284 -23.541243)",D011200033,13853,06642,,,2012/01/28,0940,2,D,,01,823,,,11000000000000000,0100,CT,80,0104,06642,13853,DTE0036,AU,ANG3723,MO,,,CO,,,,
"POINT (-46.585027 -23.471655)",D011200034,19743,,421,,2012/01/28,1300,4,D,,01,834,,,10000000000000000,0100,MC,22,0104,19743,,FDI1010,AU,,,,,AT,,,,
"POINT (-46.585027 -23.471655)",D011200035,19743,,241,,2012/01/28,1500,4,D,,01,836,,,00000000000000010,0100,MC,22,0104,19743,,,SI,,,,,AT,,,,
"POINT (-46.616396 -23.54291)",D011200036,16870,,300,,2012/01/30,1600,2,D,,01,887,,,11000000000000000,0100,CT,01,0104,16870,,DMN4878,AU,DXL7315,MO,,,CT,,,,
"POINT (-46.631702 -23.545422)",D011200037,15984,,3350,,2012/01/31,0820,4,D,,01,907,,,01000000000000000,0200,CT,01,0104,15984,,DZL9088,MO,,,,,AT,,,,
"POINT (-46.637954 -23.555898)",D011200038,33667,,10,,2012/01/31,1033,2,D,,01,915,,,11000000000000000,0100,CT,02,0104,33667,,EJN4192,MO,EXZ1603,AU,,,CT,,,,
"POINT (-46.648426 -23.527078)",D011200039,32551,,,NC,2012/01/24,0840,2,D,,02,131,,,10000001000000000,0100,HG,70,0105,32551,,AQF2515,AU,DJB5510,OU,,,CL,,,,
"POINT (-46.65175 -23.521543)",D011200040,17507,,761,,2012/01/27,1000,2,D,,02,159,,,11010000000000000,0100,HG,70,0105,17507,,EQR1260,MO,EEN8889,AU,EMU7625,CA,SI,,,,
"POINT (-46.630883 -23.524146)",D011200041,17799,06642,,,2012/01/06,1327,4,D,,02,32,,,01000000000000000,0100,HG,09,0105,06642,17799,DXX2250,MO,,,,,AT,,,,
"POINT (-46.648197 -23.526576)",D011200042,17507,,100,,2012/01/14,0110,2,D,,02,383,C,,11000000000000000,0200,HG,70,0105,17507,,EEK4463,AU,EHW5212,MO,,,CO,,,,
"POINT (-46.634215 -23.528926)",D011200043,08349,,27,,2012/01/14,2221,4,D,,02,404,,,10000000000000000,0100,HG,70,0105,08349,,DRT5118,AU,,,,,AT,,,,
"POINT (-46.630439 -23.52258)",D011200044,17799,,1,,2012/01/14,2114,4,D,,02,413,B,,01000000000000000,0100,CT,15,0105,17799,,DUY7276,MO,,,,,AT,,,,
"POINT (-46.638482 -23.531989)",D011200045,11137,,311,,2012/01/29,0550,2,D,,02,814,,,10000000000100000,0300,HG,09,0105,11137,,DTS2385,AU,EJB6158,CM,,,CO,,,,
"POINT (-46.649957 -23.524121)",D011200046,17507,10019,,,2012/01/29,1040,4,D,,02,815,,,00000001000000000,0100,HG,09,0105,10019,17507,DJF6083,OU,,,,,AT,,,,
"POINT (-46.638363 -23.528981)",D011200047,19147,,485,,2012/01/16,0945,4,D,,02,82,,,10000000000000000,0100,HG,11,0105,19147,,EKL2934,AU,,,,,AT,,,,
"POINT (-46.680528 -23.513392)",D011200048,04561,,5200,,2012/01/03,2122,2,D,,02,84,,,30000000000000000,0100,TT,06,0106,29772,,EQW1591,AU,CLM0276,AU,DYB6948,AU,CT,,,,
"POINT (-46.649637 -23.525375)",D011200049,17507,,305,,2012/01/17,1330,2,D,,02,90,,,11000000000000000,0100,HG,70,0106,17507,,EXB4342,MO,FLY1882,AU,,,CH,,,,
"POINT (-46.639758 -23.685778)",D011200050,01695,,766,,2012/01/15,1500,2,D,,02,299,,,01000000000000000,0200,SA,29,0106,01695,,DJU5520,MO,,,,,QM,,,,
"POINT (-46.643323 -23.544955)",D011200051,17000,09276,,,2012/01/01,0440,2,D,,03,09,,,10000000000000000,0200,SA,67,0107,09276,17000,BNP7265,AU,,,,,CH,,,,
"POINT (-46.640498 -23.535131)",D011200052,04659,01267,,,2012/01/05,1815,4,D,,03,142,,,10000000000000000,0100,SA,67,0107,01267,04659,DNO9463,AU,,,,,AT,,,,
"POINT EMPTY",D011200053,10101,15141,,,2012/01/05,1745,4,D,,03,143,,,00000001000000000,0100,SA,67,0107,10101,15141,DJB2607,OU,,,,,AT,,,,
"POINT (-46.642146 -23.537068)",D011200054,17115,,711,,2012/01/06,0126,4,D,,77,143,,,00000000000100000,0100,CT,05,0107,17115,,DJL7656,CM,,,,,AT,,,,
"POINT (-46.639955 -23.548561)",D011200055,00880,,40,,2012/01/07,1333,4,D,,03,183,,,10000000000000000,0100,CT,67,0107,00880,,DZH7184,AU,,,,,AT,,,,
"POINT (-46.636467 -23.543065)",D011200056,17633,,,PXLGO PAISSANDU,2012/01/10,2030,2,D,,03,269,,,11000000000000000,0100,CT,67,0107,17633,,CFF9474,AU,DTF8259,MO,,,CO,,,,
"POINT (-46.643323 -23.544955)",D011200057,17000,09276,,,2012/01/11,0141,2,D,,03,280,,,10000000000000000,0100,CT,67,0107,09276,17000,DFL9179,AU,,,,,CH,,,,
"POINT (-46.643427 -23.538622)",D011200058,15141,,171,,2012/01/18,1306,2,D,,03,473,,,01001000000000000,0100,HG,05,0107,15141,,,BI,EOU4701,MO,,,CO,,,,
"POINT (-46.637641 -23.53702)",D011200059,19847,19177,,,2012/01/17,2035,2,D,,03,505,,,11000000000000000,0100,HG,67,0107,19177,19847,EUF1264,AU,DUY2227,MO,,,CO,,,,
"POINT (-46.643323 -23.544955)",D011200060,17000,09276,,,2012/01/20,0545,2,D,,03,561,,,10000000000000000,0100,HG,67,0107,09276,17000,DZI1809,AU,,,,,CH,,,,
"POINT (-46.640129 -23.534878)",D011200061,04659,13733,,,2012/01/26,0700,4,D,,03,627,,,00000000100000000,0100,HG,67,0108,04659,05098,NFK7991,MC,,,,,AT,,,,
"POINT (-46.63849 -23.539215)",D011200062,06285,,304,,2012/01/26,1806,4,D,,03,651,,,01000000000000000,0100,CT,67,0108,06285,,LUW8964,MO,,,,,AT,,,,
"POINT (-46.642549 -23.548127)",D011200063,12132,,,PXPC D JOSE GAS,2012/01/27,2310,4,D,,03,783,,,01000000000000000,0100,CT,67,0108,12132,,,MO,,,,,AT,,,,
"POINT (-46.638948 -23.541197)",D011200064,17115,09276,,,2012/01/31,2310,4,D,,03,901,,,00000000000000010,0100,CT,67,0108,09276,17115,,SI,,,,,AT,,,,
"POINT (-46.647792 -23.553142)",D011200065,21064,,,NC,2012/01/02,0741,2,D,,04,2,,,11000000000000000,0100,PA,17,0109,21064,,EQE5416,MO,DRA6646,AU,,,CL,,,,
"POINT (-46.660085 -23.558035)",D011200066,02497,15656,,,2012/01/02,1150,4,D,,04,4,,,00010000000000000,0100,PA,26,0109,02497,15656,EMU9531,CA,,,,,AT,,,,
"POINT (-46.657546 -23.545371)",D011200067,01356,16204,,,2012/01/02,1350,2,D,,04,14,C,,00100000000000000,0100,PA,26,0109,01356,16204,DTB2579,ON,,,,,QD,,,,
"POINT (-46.647004 -23.552226)",D011200068,14804,,871,,2012/01/02,1810,4,D,,04,22,C,,01000000000000000,0100,JD,63,0109,14804,,EXF2329,MO,,,,,AT,,,,
"POINT (-46.644872 -23.549504)",D011200069,13632,,262,,2012/01/03,0313,2,D,,04,33,B,,01000000000100000,0100,PA,67,0109,13632,,DFJ4457,MO,EQG6976,CM,,,CT,,,,
"POINT (-46.645204 -23.547577)",D011200070,14513,05245,,,2012/01/05,2035,4,D,,04,99,,,10000000000000000,0100,PA,67,0109,05245,14513,ELF3758,AU,,,,,AT,,,,
"POINT (-46.660085 -23.558035)",D011200071,02497,15656,,,2012/01/06,1607,4,D,,04,118,,,10000000000000000,0100,PA,26,0109,02497,15656,DWQ1914,AU,,,,,AT,,,,
"POINT (-46.658623 -23.547576)",D011200072,01356,18040,,,2012/01/02,2335,2,D,,04,142,,,10001000000000000,0100,PA,26,0109,01356,18040,CZZ3373,AU,,BI,,,CO,,,,
"POINT (-46.656183 -23.551362)",D011200073,05245,,1663,,2012/01/10,1500,2,D,,04,178,C,,01000000000000000,0100,JD,26,0109,05245,,EXA2871,MO,,,,,QM,,,,
"POINT (-46.657588 -23.552133)",D011200074,05245,,1769,,2012/01/21,0653,2,D,,04,228,,,10000001000000000,0400,JD,26,0109,05245,,GOL3764,AU,DTA7401,OU,,,CT,,,,
"POINT (-46.662713 -23.55568)",D011200075,05245,15656,,,2012/01/11,1730,2,D,,04,246,,,11000000000000000,0100,JD,26,0110,05245,15656,,AU,EJN1160,MO,,,CO,,,,
"POINT (-46.662713 -23.55568)",D011200076,15656,05245,,,2012/01/12,2318,4,D,,04,274,,,00100000000000000,0100,JD,26,0110,05245,15656,,ON,,,,,AT,,,,
"POINT (-46.648744 -23.550724)",D011200077,02497,,280,,2012/01/13,2250,4,D,,04,303,,,10000000000000000,0100,JD,26,0110,02497,,DOD5616,AU,,,,,AT,,,,
"POINT (-46.64902 -23.547862)",D011200078,05245,13141,,,2012/01/04,2208,4,D,,04,346,B,,01000000000000000,0100,JD,26,0110,03874,05245,,MO,,,,,AT,,,,
"POINT (-46.665214 -23.55663)",D011200079,33447,,,NC,2012/01/20,1405,2,D,,04,383,,,01100000000000000,0100,PA,34,0110,33447,,ECT1243,ON,EXE2956,MO,,,CO,,,,
"POINT (-46.647792 -23.553142)",D011200080,21064,,,NC,2012/01/23,0700,2,D,,04,405,,,11000000000000000,0100,PA,17,0110,21064,,ECR8582,MO,EZB8110,AU,,,CO,,,,
"POINT (-46.660693 -23.554083)",D011200081,05245,01616,,,2012/01/23,1103,2,D,,04,418,,,12000000000000000,0200,PA,26,0110,01616,05245,EOT4056,MO,DYW5523,MO,CXD4918,AU,CO,,,,
"POINT (-46.642346 -23.549967)",D011200082,14804,,259,,2012/01/19,0411,4,D,,04,426,,,10000000000000000,0200,JD,63,0110,14804,,CMG1314,AU,,,,,AT,,,,
"POINT (-46.659429 -23.557269)",D011200083,02497,,1600,,2012/01/18,2200,2,D,,04,432,,,20000000000000000,0100,JD,26,0110,02497,,DTC5232,AU,EMX5645,AU,,,CO,,,,
"POINT (-46.659555 -23.557653)",D011200084,02497,,1655,,2012/01/22,0520,4,D,,04,443,,,10000000000000000,0100,JD,26,0110,02497,,EPS9898,AU,,,,,AT,,,,
"POINT (-46.65903 -23.552825)",D011200085,05245,07026,,,2012/01/30,0920,2,D,,04,545,,,11000000000000000,0100,JD,26,0110,05245,07026,DUY6008,MO,HMB1006,AU,,,CT,,,,
"POINT (-46.662713 -23.55568)",D011200086,15656,05245,,,2012/01/31,1500,4,D,,04,581,,,01000000000000000,0200,JD,26,0111,05245,15656,EUO2252,MO,,,,,AT,,,,
"POINT (-46.652406 -23.557067)",D011200087,14804,,1510,,2012/01/22,1445,2,D,,04,616,,,11000000000000000,0100,JD,63,0111,14804,,DPS4340,AU,EJP1645,MO,,,CO,,,,
"POINT (-46.647267 -23.547312)",D011200088,00989,05245,,,2012/01/26,2343,2,D,,04,634,,,01000000000000000,0100,JD,67,0111,00989,05245,DYY3664,MO,,,,,QM,,,,
"POINT (-46.647706 -23.547741)",D011200089,05245,,585,,2012/01/19,1240,2,D,,04,754,,,00000001000000000,0100,JD,26,0111,05245,,DTB1759,OU,,,,,QD,,,,
"POINT (-46.649721 -23.557582)",D011200090,09546,17237,,,2012/01/02,0856,4,D,,05,5,,,10000000000000000,0100,JD,07,0112,09546,17237,CZX6459,AU,,,,,AT,,,,
"POINT (-46.648554 -23.566836)",D011200091,12165,,2138,,2012/01/02,1621,4,D,,05,20,B,,00000001000000000,0100,CT,07,0112,12165,,DTD3429,OU,,,,,AT,,,,
"POINT (-46.645686 -23.556262)",D011200092,17517,,70,,2012/01/03,1140,2,D,,05,33,B,,11000000000000000,0200,PA,17,0112,17517,,EWO7018,AU,EXA6409,MO,,,CO,,,,
"POINT (-46.637481 -23.551228)",D011200093,19764,,,NC,2012/01/03,0025,2,D,,05,42,,,10000000000000000,0100,VM,17,0112,19764,,EQY8527,AU,,,,,CH,,,,
"POINT (-46.644751 -23.571158)",D011200094,15656,,7,,2012/01/04,1309,2,D,,05,54,,,01000000000000000,0200,PA,07,0112,15656,,EQD8475,MO,,,,,QM,,,,
"POINT (-46.642033 -23.567442)",D011200095,04244,,987,,2012/01/05,2015,2,D,,05,95,,,01000000000000000,0100,PA,49,0112,04244,,DZQ2507,MO,,,,,QM,,,,
"POINT (-46.639165 -23.563428)",D011200096,19583,,168,,2012/01/07,0300,2,D,,05,132,,,10000000000100000,0100,CT,33,0112,19583,,EJZ5459,AU,EXT0467,CM,,,CT,,,,
"POINT (-46.646262 -23.558422)",D011200098,19154,,561,,2012/01/08,1936,2,D,,05,167,,,11000000000000000,0100,PA,17,0112,19154,,DAG9685,MO,ELI1013,AU,,,CL,,,,
"POINT (-46.646633 -23.556911)",D011200099,19154,,400,,2012/01/12,0010,4,D,,05,250,,,00000000000000010,0100,PA,17,0112,19154,,,SI,,,,,AT,,,,
"POINT (-46.649029 -23.567728)",D011200100,12165,15656,,,2012/01/14,1147,4,D,,05,270,,,00000001000000000,0100,PA,44,0112,12165,15656,DTA4246,OU,,,,,AT,,,,
"POINT (-46.637481 -23.551228)",D011200101,19764,,,SBVD CONDESSA,2012/01/17,1700,2,D,,05,314,,,11000000000000000,0100,VM,17,0113,35614,,DTB8041,AU,DOU5367,MO,,,CO,,,,
"POINT (-46.640399 -23.557257)",D011200102,17813,,1,,2012/01/17,2120,4,D,,05,401,B,,10000000000000000,0100,PA,02,0113,17813,,APH2625,AU,,,,,AT,,,,
"POINT (-46.64762 -23.568501)",D011200103,15656,,392,,2012/01/26,0722,4,D,,05,481,,,01000000000000000,0200,PA,07,0113,15656,,EXC2990,MO,,,,,AT,,,,
"POINT (-46.643308 -23.554304)",D011200104,21822,,18,,2012/01/26,1300,4,D,,05,488,,,10000000000000000,0100,PA,17,0113,21822,,GAB0970,AU,,,,,AT,,,,
"POINT (-46.646029 -23.567644)",D011200105,04410,,219,,2012/01/27,0839,2,D,,05,509,,,11000000000000000,0100,PA,07,0113,04410,,COY6834,AU,EIE9930,MO,,,CL,,,,
"POINT (-46.642191 -23.559053)",D011200106,12165,,1086,,2012/01/20,2300,2,D,,05,517,,,01100000000000000,0100,CT,07,0113,12165,,EHG5874,MO,DTE5049,ON,,,CO,,,,
"POINT (-46.638557 -23.562109)",D011200107,19583,,,ACAV 23 DE MAIO,2012/01/30,1430,4,D,,05,549,,,10000000000000000,0100,SI,33,0113,19764,,EEI1375,AU,,,,,AT,,,,
"POINT (-46.634525 -23.56347)",D011200108,18618,,514,,2012/01/24,1932,2,D,,05,590,,,11000000000000000,0100,CT,49,0113,18618,,DME1279,AU,EKI8793,MO,,,CL,,,,
"POINT (-46.651533 -23.559078)",D011200109,15372,,,PXAL FRANCA,2012/01/26,2003,2,D,,05,631,B,,30000000000000000,0100,PA,17,0113,15372,,CFS4361,AU,EMP2041,AU,CES4361,AU,CT,,,,
"POINT (-46.639086 -23.562953)",D011200110,19583,,100,,2012/01/30,1345,2,D,,05,879,,,11000000000000000,0100,CT,33,0113,19583,,CRI0430,AU,EXD2172,MO,,,CO,,,,
"POINT (-46.62459 -23.55659)",D011200111,11794,15993,,,2012/01/09,0730,2,D,,06,113,,,21000000000000000,0100,CT,14,0114,11794,15993,EKQ2424,AU,DDB8694,AU,JKH1220,MO,SI,,,,
"POINT (-46.617763 -23.557592)",D011200112,06642,09831,,,2012/01/12,1050,2,D,,06,183,,,11000000000000000,0100,CT,14,0114,06642,09831,EIE9166,MO,BKO3950,AU,,,CT,,,,
"POINT (-46.624259 -23.594085)",D011200113,23990,,57,,2012/01/12,1600,4,D,,06,200,,,10000000000000000,0100,IP,09,0114,23990,,DQN8427,AU,,,,,AT,,,,
"POINT (-46.62459 -23.55659)",D011200114,15993,11794,,,2012/01/18,1730,2,D,,06,286,,,01000000000100000,0100,IP,14,0114,11794,15993,LUW2277,MO,EJC2592,CM,,,CO,,,,
"POINT (-46.633019 -23.579982)",D011200115,12452,08512,,,2012/01/14,1900,4,D,,06,309,,,10000000000000000,0100,IP,92,0114,08512,12452,CID1207,AU,,,,,AT,,,,
"POINT (-46.621222 -23.562843)",D011200116,03961,,10,,2012/01/15,1603,2,D,,06,333,,,11000000000000000,0100,IP,12,0114,03961,,EBI1291,AU,KVI3261,MO,,,CO,,,,
"POINT (-46.627999 -23.54879)",D011200117,06642,,3728,,2012/01/21,1430,4,D,,06,339,,,01000000000000000,0200,CT,09,0114,06642,,,MO,,,,,AT,,,,
"POINT (-46.608116 -23.571784)",D011200118,18847,,400,,2012/01/23,1240,2,D,,06,357,,,01000000000000000,0100,IP,12,0114,18847,,BRT4948,MO,,,,,QM,,,,
"POINT (-46.611959 -23.564424)",D011200119,15967,,100,,2012/01/24,1400,2,D,,06,377,,,10100000000000000,0200,IP,12,0114,15967,,EEN1242,AU,DJB5091,ON,,,SI,,,,
"POINT (-46.623419 -23.576242)",D011200120,11922,,1455,,2012/01/27,2040,2,D,,06,437,,,11000000000000000,0100,IP,92,0115,11922,,DOE3721,MO,EUW5380,AU,,,SI,,,,
"POINT (-46.62133 -23.589715)",D011200122,18009,17294,,,2012/01/30,1929,2,D,,06,471,,,11000000000000000,0100,IP,92,0115,17294,18009,DCM3383,AU,CDP7878,MO,,,CO,,,,
"POINT (-46.626348 -23.582301)",D011200123,05184,,453,,2012/01/29,0023,2,D,,06,609,,,10000000000000000,0100,IP,92,0115,05184,,CHH2116,AU,,,,,CH,,,,
"POINT (-46.632073 -23.579666)",D011200124,12452,,300,,2012/01/05,1600,2,D,,06,74,,,11000000000000000,0100,VM,92,0115,12452,,DSK7035,AU,DPK0437,MO,,,CO,,,,
"POINT (-46.621139 -23.556992)",D011200125,06642,,5000,,2012/01/06,1445,2,D,,06,89,,,11000000000000000,0100,CT,09,0115,06642,,DZM6457,MO,DWE8338,AU,,,CT,,,,
"POINT (-46.596207 -23.544959)",D011200126,00543,,3137,,2012/01/06,0700,2,D,,08,132,,,11000000000000000,0100,MO,10,0116,00543,,EUX2183,AU,DPI5596,MO,,,SI,,,,
"POINT (-46.624613 -23.551491)",D011200127,00543,,51,,2012/01/06,0801,2,D,,08,134,,,11000000000000000,0100,MO,10,0116,00543,,DXE5406,AU,DNC6498,MO,,,SI,,,,
"POINT (-46.624773 -23.551358)",D011200128,00543,,,SBVD BRESSER,2012/01/06,0940,2,D,,08,135,C,,20000000000000000,0100,MO,10,0116,00543,,EGT1884,AU,EJE6490,AU,,,CO,,,,
"POINT (-46.612846 -23.554349)",D011200129,14213,,1319,,2012/01/09,2131,4,D,,08,208,B,,10000000000000000,0100,MO,16,0116,14213,,GYH6696,AU,,,,,AT,,,,
"POINT (-46.619275 -23.552687)",D011200130,00543,,592,,2012/01/11,1735,2,D,,08,251,B,,11000000000000000,0200,MO,10,0116,00543,,EES2211,AU,EJO5787,MO,,,CO,,,,
"POINT (-46.607312 -23.569411)",D011200131,06642,,6944,,2012/01/13,2142,2,D,,08,295,,,01000000000100000,0100,CT,09,0116,06642,,EEX0146,CM,DOY9911,MO,,,CO,,,,
"POINT (-46.618009 -23.547055)",D011200132,16673,,197,,2012/01/21,0515,2,D,,08,332,,,00000001000000000,0200,BR,06,0116,16673,,DJB0107,OU,,,,,QD,,,,
"POINT (-46.611297 -23.548276)",D011200133,15524,,1500,,2012/01/15,2318,2,D,,08,336,,,01000000000000000,0100,BR,08,0116,15524,,EQP0738,MO,,,,,QM,,,,
"POINT (-46.610805 -23.564487)",D011200134,06642,61343,,,2012/01/15,2350,4,D,,08,337,,,10000000000000000,0100,BR,14,0116,06642,61343,DFF9971,AU,,,,,AT,,,,
"POINT (-46.597315 -23.545453)",D011200135,00543,,3008,,2012/01/16,1050,2,D,,08,355,C,,11000000000000000,0200,MO,10,0116,00543,,EUN7071,MO,EXA2528,AU,,,CT,,,,
"POINT (-46.62058 -23.557183)",D011200136,06642,,5100,,2012/01/17,1910,2,D,,08,387,B,,30000000000000000,0100,CT,09,0117,06642,,EBY0350,AU,EKX5426,AU,DRR5261,AU,CT,,,,
"POINT (-46.609671 -23.547369)",D011200137,15524,,1700,,2012/01/18,1604,2,D,,08,411,,,01000000000000000,0100,BR,08,0117,15524,,EQR1833,MO,,,,,QM,,,,
"POINT (-46.622345 -23.552348)",D011200138,00543,,300,,2012/01/18,2056,4,D,,08,414,B,,10000000000000000,0100,MO,10,0117,00543,,EQJ8466,AU,,,,,AT,,,,
"POINT (-46.618228 -23.552401)",D011200139,00543,00544,,,2012/01/19,2210,2,D,,08,429,,,20000000000000000,0100,MO,10,0117,00543,00544,ELX7237,AU,DLG8403,AU,,,CT,,,,
"POINT (-46.622986 -23.552272)",D011200140,00543,,200,,2012/01/23,0805,4,D,,08,486,C,,10000000000000000,0100,MO,10,0117,00543,,EJI3033,AU,,,,,AT,,,,
"POINT (-46.608391 -23.541951)",D011200142,12856,,85,,2012/01/24,2130,4,D,,08,523,,,00000000000000010,0100,BR,10,0117,12856,,,SI,,,,,AT,,,,
"POINT (-46.597436 -23.547454)",D011200143,09855,08484,,,2012/01/26,1250,2,D,,08,560,,,10001000000000000,0100,BR,54,0117,08484,09855,DZC4984,AU,,BI,,,CO,,,,
"POINT (-46.607433 -23.550573)",D011200144,00543,03596,,,2012/01/27,2130,4,D,,08,590,,,00000000000100000,0100,BR,54,0117,00543,03596,ETO5850,CM,,,,,AT,,,,
"POINT (-46.624063 -23.552142)",D011200146,00543,,100,,2012/01/20,1750,4,D,,08,652,,,10000000000000000,0100,MO,10,0117,00543,,DJP9990,AU,,,,,AT,,,,
"POINT (-46.604235 -23.549159)",D011200147,00543,,2068,,2012/01/31,2142,4,D,,08,687,B,,10000000000000000,0100,MO,10,0118,00543,,DXQ4707,AU,,,,,AT,,,,
