WKT,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,TIPO_ACIDE
"POINT (-46.6134480632412 -23.5824488881035)",D121400266,15717,,90,,2014/12/05,2030,2,,,11000000000000000,0100,SU1,33,0205,15717,,CO
"POINT (-46.6132199473527 -23.5824789802997)",D121400267,15717,,95,,2014/12/04,1056,2,,,11000000000000000,0100,SU1,33,0205,15717,,CO
"POINT (-46.6034250415763 -23.5893751023143)",D121400268,12057,,370,,2014/12/02,1330,2,,,01000000000000010,0100,SU1,33,0205,12057,,CO
"POINT (-46.6017473414191 -23.5753024184585)",D121400269,24831,,10,,2014/12/16,1150,2,,,11000000000000000,0200,SE2,33,0205,24831,,CO
"POINT (-46.5824813824536 -23.6080002055617)",D121400270,98871,,40,,2014/12/26,0730,2,,,01000000000000000,0100,SU1,33,0205,98871,,QM
"POINT (-46.6219966827036 -23.5957406045217)",D121400271,17083,,2200,,2014/12/03,1830,2,,,21000000000000000,0100,SU1,92,0206,17083,,CO
"POINT (-46.5994471503178 -23.5826688049109)",D121400272,15609,,1000,,2014/12/06,0608,2,,,11000000000000000,0200,SU1,33,0206,15609,,CO
"POINT (-46.6054054404357 -23.5667290698049)",D121400273,19958,,1484,,2014/12/20,0918,2,,,10010000000000000,0200,SE2,14,0206,19958,,CL
"POINT (-46.6073881009241 -23.5759773439336)",D121400274,05421,07105,,,2014/12/31,1930,2,,,20000000000000000,0100,SU1,33,0206,05421,07105,CO
"POINT (-46.6174054603234 -23.6266552940188)",D121400275,43154,,3000,,2014/12/10,0650,2,,,11000000000000000,0100,SU1,27,0207,43154,,CT
"POINT (-46.6005768347125 -23.6387639520323)",D121400276,16289,,287,,2014/12/08,1910,2,,,01000000000000000,0100,SU1,69,0207,16289,,QM
"POINT (-46.6146900648118 -23.6280047124254)",D121400277,11544,,423,,2014/12/04,1450,2,,,01000001000000000,0100,SU1,27,0207,11544,,CO
"POINT (-46.6018380161899 -23.6224387443381)",D121400278,02223,19723,,,2014/12/06,1830,2,,,10000000000200000,0100,SU1,69,0207,02223,19723,CO
