WKT,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,TIPO_ACIDE
"POINT (-46.6579259855469 -23.581533121977)",D011400334,10630,00057,,,2014/01/06,1605,2,,,11000000000000000,0100,SO1,53,0217,00057,10630,CO
"POINT (-46.6292486280901 -23.6263631265001)",D011400303,13915,00066,,,2014/01/27,1700,2,,,10001000000000000,0100,SU1,27,0213,00066,07019,CO
"POINT (-46.5827133527649 -23.5439527428159)",D011400124,19387,00185,,,2014/01/21,1615,2,,,20000000000000000,0200,SE1,08,0114,19018,43174,CL
"POINT (-46.6491867239541 -23.6576037679747)",D011400400,35532,00291,,,2014/01/25,2215,2,,,11000000000000000,0200,SU2,37,0225,00291,35532,CO
"POINT (-46.5619369658552 -23.5480198838775)",D011401104,02673,00385,,,2014/01/31,2045,2,,,11000000000000000,0100,SE1,82,0513,00385,02673,CO
"POINT (-46.6566539680304 -23.564489526665)",D011400179,10004,00630,,,2014/01/03,1803,2,,,11000000000000000,0100,SO1,44,0121,00630,10004,CO
"POINT (-46.6115107137401 -23.5647803494486)",D011400105,15967,00651,,,2014/01/08,0648,2,,,11000000000000000,0100,SU1,14,0112,00651,15967,CL
"POINT (-46.6373365478259 -23.4748136482794)",D011400897,44645,00731,,,2014/01/05,1145,2,C,,11000000000000000,0100,CN1,51,0418,00731,44645,CO
"POINT (-46.7110121336398 -23.5736753215411)",D011400541,17822,00855,,,2014/01/10,0951,2,,,02000000000000000,0100,OE3,12,0316,00855,17822,SI
"POINT (-46.7010295442532 -23.518700416548)",D011400406,19951,00915,,,2014/01/17,1120,4,,,10000000000000000,0100,NO1,48,0301,00915,19951,AT
"POINT (-46.4410368515406 -23.4934970060802)",D011401434,17820,00948,,,2014/01/20,1200,4,,,01000000000000000,0100,LE3,76,0701,00948,17820,AT
"POINT (-46.5431191113362 -23.5230606944261)",D011401043,16428,00954,,,2014/01/02,2000,2,,,11000000000000000,0200,LE1,60,0504,00954,18126,CO
"POINT (-46.5901235837071 -23.5243939545508)",D011400831,00541,00967,,,2014/01/21,0753,2,,,10000000000100000,0200,CN2,91,0408,00541,00967,CO
"POINT (-46.6486036353122 -23.5387001780017)",D011400172,01162,00989,,,2014/01/22,1930,4,,,00000001000000000,0100,NO1,70,0120,00989,01162,AT
"POINT (-46.6739064784851 -23.597745494728)",D011400389,19295,00999,,,2014/01/31,0739,4,,,01000000000000000,0100,SO1,34,0223,00999,19295,AT
"POINT (-46.6927789838934 -23.6329002228323)",D011401209,03041,00999,,,2014/01/29,0210,2,,,11000000000000000,0100,SO2,72,0604,00222,00999,CO
"POINT (-46.7171097114216 -23.6661821289494)",D011401420,08368,01318,,,2014/01/31,1620,2,,,11000000000000000,0200,SO4,81,0630,01318,08368,CL
"POINT (-46.6483375818136 -23.5183927141811)",D011400037,04561,01421,,,2014/01/09,1737,4,,,01000000000000000,0100,TT,09,0104,01421,04561,AT
"POINT (-46.6528761135899 -23.5230679675728)",D011400485,12372,01427,,,2014/01/05,0851,2,,,20000000000000000,0300,NO2,70,0310,01427,12372,CO
"POINT (-46.6536857050778 -23.5499021742688)",D011400072,05245,01497,,,2014/01/12,0520,2,,,20000000000000000,0200,OE1,26,0108,01497,05245,CO
"POINT (-46.7032175159875 -23.6469129993504)",D011401208,09647,01586,,,2014/01/28,2004,2,,,01000001000000000,0100,SO2,72,0604,01586,09647,CO
"POINT (-46.5627931735228 -23.5492787162123)",D011401096,01967,01606,,,2014/01/23,1400,2,,,11000000000000000,0100,SE1,82,0513,01606,01967,CO
"POINT (-46.6582210121931 -23.5562433069367)",D011400069,02497,01616,,,2014/01/08,2245,2,,,11000000000000000,0100,OE1,26,0108,01616,02497,CO
"POINT (-46.5581818823645 -23.5368304204322)",D011401088,34122,01657,,,2014/01/31,0750,2,,,01000000000000000,0100,LE1,82,0512,01657,34122,QM
"POINT (-46.5093615182666 -23.5279361393115)",D011401059,05957,01702,,,2014/01/18,0100,2,,,11000000000000000,0200,LE2,93,0508,01702,05957,CT
"POINT (-46.5456624348262 -23.5748227170462)",D011401158,43408,01741,,,2014/01/30,0748,4,C,,10000000000000000,0100,SE1,87,0522,01741,43408,AT
"POINT (-46.7048554255361 -23.5215255326127)",D011400418,06097,01847,,,2014/01/17,0106,4,,,10000000000000000,0100,NO1,48,0302,01847,06097,AT
"POINT (-46.5640347307172 -23.5441526123708)",D011401082,18068,01967,,,2014/01/05,2330,2,,,01100000000000000,0100,SE1,82,0512,01967,18068,CO
"POINT (-46.5652909413432 -23.5384345818914)",D011401094,34122,01967,,,2014/01/21,1157,4,C,,10000000000000000,0100,LE1,82,0513,01967,34122,AT
"POINT (-46.7445980331311 -23.5619236043882)",D011400749,04957,01971,,,2014/01/19,1530,4,,,10000000000000000,0100,OE2,12,0341,01971,04957,AT
"POINT (-46.6553430283238 -23.6155004468188)",D011400270,08273,02108,,,2014/01/16,1000,2,,,11000000000000000,0100,SU2,79,0209,02108,08273,CL
"POINT (-46.607505714091 -23.6401968146543)",D011401775,20428,02223,,,2014/01/18,0230,2,,,11000000000000000,0001,SU1,69,0008,12513,20428,CH
"POINT (-46.7332817283065 -23.5351023559699)",D011400725,07836,02289,,,2014/01/21,1205,2,,,11000000000000000,0100,NO1,90,0338,02289,07836,CO
"POINT (-46.6797056444813 -23.5614424203458)",D011400427,08714,02350,,,2014/01/03,0850,2,,,00010000000100000,0300,OE1,63,0304,02350,08714,CO
"POINT (-46.6797056444813 -23.5614424203458)",D011400455,08714,02350,,,2014/01/26,0200,2,,,01000000000000010,0200,OE1,63,0306,02350,08714,CO
"POINT (-46.6247660997108 -23.5070851681307)",D011400777,05567,02455,,,2014/01/17,1152,4,,,01000000000000000,0200,CN2,71,0402,02455,05567,AT
"POINT (-46.6804513469547 -23.5903194990482)",D011400467,12326,02476,,,2014/01/03,1850,2,,,01000000000100000,0100,SO1,34,0308,02476,12326,QM
"POINT (-46.6804513469547 -23.5903194990482)",D011400468,12326,02476,,,2014/01/07,1730,2,,,11000000000000000,0100,SO1,34,0308,02476,12326,CF
"POINT (-46.6894888969675 -23.5308358506518)",D011400404,13797,02527,,,2014/01/03,1540,2,,,11000000000000000,0100,NO1,61,0301,02527,13797,CT
"POINT (-46.6262836348773 -23.5082294597237)",D011400818,02455,02635,,,2014/01/29,1510,2,,,01010000000000000,0100,CN2,71,0406,02455,19884,CO
"POINT (-46.5681126274153 -23.5492567763437)",D011401087,18071,02673,,,2014/01/12,1149,2,,,11000000000000000,0200,SE1,82,0512,02673,18071,CL
"POINT (-46.6479979158577 -23.5979482400432)",D011400207,15914,02692,,,2014/01/10,1220,2,,,00000001000000000,0100,SO1,92,0201,02692,15914,QD
"POINT (-46.6570771722467 -23.5362010591516)",D011400171,00534,02889,,,2014/01/18,1450,4,,,10000000000000000,0100,OE1,70,0119,00534,02889,AT
"POINT (-46.6430378770657 -23.5447070406607)",D011401733,09276,02947,,,2014/01/28,1224,4,,,00000000000000010,0001,CN3,67,0004,02947,09276,AT
"POINT (-46.6545032059174 -23.572973933844)",D011400180,12165,02965,,,2014/01/06,2208,2,,,10001000000000000,0100,SO1,44,0121,02965,12165,CO
"POINT (-46.7242778068906 -23.5776494286158)",D011400662,16878,03196,,,2014/01/17,0650,2,,,30000000000000000,0500,RV1,12,0330,03196,16878,CT
"POINT (-46.6438342520747 -23.571526735451)",D011400348,15153,03274,,,2014/01/31,1220,2,,,11000000000000000,0100,SU2,07,0218,15153,15656,CT
"POINT (-46.7430383664963 -23.5486635487729)",D011400751,11491,03443,,,2014/01/23,0930,2,,,11000000000000000,0100,OE2,40,0341,11491,59430,CO
"POINT (-46.694392825588 -23.4989420261239)",D011400869,07522,03469,,,2014/01/09,1020,2,B,,11000000000000000,0100,NO2,29,0414,03469,07522,CL
"POINT (-46.6270051706904 -23.5976288134573)",D011400220,17755,03493,,,2014/01/30,1415,2,,,11000000000000000,0100,SU2,92,0203,03493,17755,CO
"POINT (-46.5474150706547 -23.5419084014255)",D011401097,07974,03574,,,2014/01/23,0830,2,,,11000000000000000,0100,SE1,20,0513,03574,07974,CO
"POINT (-46.6615117397868 -23.579163669446)",D011400186,12165,03581,,,2014/01/14,0921,4,,,00000001000000000,0100,SO1,53,0121,03581,12165,AT
"POINT (-46.6072755452998 -23.5507480974256)",D011400128,00543,03596,,,2014/01/27,0900,2,,,02000000000000000,0100,LE1,54,0114,00543,03596,SI
"POINT (-46.7082431916487 -23.5963873375811)",D011400546,14267,03688,,,2014/01/09,1900,2,,,01000000000000000,0100,SO3,55,0317,03688,14267,QM
"POINT (-46.6007091724606 -23.5340087793904)",D011401164,04632,03787,,,2014/01/15,0800,4,,,10000000000000000,0100,LE1,08,0523,03787,04632,AT
"POINT (-46.6489812925641 -23.5480519828186)",D011400078,05245,03874,,,2014/01/18,2129,4,,,00000001000000000,0100,OE1,26,0109,03874,05245,AT
"POINT (-46.6798128836402 -23.5332385198028)",D011400497,02900,03876,,,2014/01/15,2245,2,,,11000000000000000,0100,NO1,61,0311,02900,03876,CO
"POINT (-46.6797607183484 -23.5351230493498)",D011400500,00396,03880,,,2014/01/12,1815,2,,,21000000000000000,0100,NO1,61,0311,00396,03880,CO
"POINT (-46.7217870376596 -23.5125352053139)",D011400734,12436,03924,,,2014/01/26,1717,2,,,01000000000000000,0200,TT,48,0339,03924,12436,CO
"POINT (-46.7102755944721 -23.5737117844474)",D011400654,17822,03937,,,2014/01/31,1600,2,,,11000000000000000,0100,OE3,12,0329,03937,17822,CT
"POINT (-46.7396688673917 -23.5961266461854)",D011400535,07500,03984,,,2014/01/03,1415,2,,,11000000000000000,0200,OE3,96,0316,03984,07500,SI
"POINT (-46.6507213106807 -23.6238141899659)",D011400295,19100,04065,,,2014/01/24,2320,2,,,10010000000000000,0100,PB,79,0211,04065,19100,CO
"POINT (-46.6666782080409 -23.6009037088255)",D011400392,11648,04079,,,2014/01/20,1430,2,,,40000000000000000,0100,SO1,53,0223,04079,11648,SI
"POINT (-46.5692687877702 -23.5349963244546)",D011401130,04736,04116,,,2014/01/12,2259,2,,,01000000000100000,0100,LE1,82,0517,04116,04736,CO
"POINT (-46.5586394261032 -23.5441712807672)",D011401084,07488,04144,,,2014/01/07,1326,2,,,11000000000000000,0100,SE1,82,0512,04144,07488,CO
"POINT (-46.629324935238 -23.5400883405961)",D011400030,13853,04146,,,2014/01/20,1230,2,,,00100000000100000,0200,CN3,80,0101,04146,16725,CO
"POINT (-46.683346133792 -23.54195706462)",D011400496,01942,04190,,,2014/01/16,1130,2,,,11000000000000000,0100,NO1,61,0311,01942,04190,CL
"POINT (-46.6249436358126 -23.51162631773)",D011400788,05567,04219,,,2014/01/15,1800,2,,,10000001000000000,0200,CN2,71,0404,04219,05567,CO
"POINT (-46.6676680124558 -23.6126154663921)",D011400293,11426,04269,,,2014/01/31,1900,4,,,10000000000000000,0100,SO1,53,0211,04269,11426,AT
"POINT (-46.629324935238 -23.5400883405961)",D011400017,04146,04342,,,2014/01/18,1002,2,,,11000000000000000,0100,CN3,80,0101,04146,16725,CO
"POINT (-46.6361740468726 -23.5846986675863)",D011400341,19583,04400,,,2014/01/21,2005,2,,,11000000000000000,0100,SU2,92,0217,04400,19583,CO
"POINT (-46.6741883244337 -23.6010975999325)",D011400378,00999,04528,,,2014/01/09,1640,2,,,11000000000000000,0100,SO1,34,0223,00999,04528,CO
"POINT (-46.653762798971 -23.5030455435395)",D011400796,10904,04533,,,2014/01/02,0750,2,,,11000000000000000,0100,CN1,21,0405,04533,15250,CO
"POINT (-46.7165190406485 -23.5548203837103)",D011401724,07665,04570,,,2014/01/10,1244,2,,,10010000000000000,0201,PB,02,0003,04570,07665,CT
"POINT (-46.7006274350378 -23.5438610881293)",D011400453,11944,04773,,,2014/01/24,1100,2,,,00000000000200000,0500,OE1,02,0306,04773,11944,CO
"POINT (-46.630644128179 -23.502473057138)",D011400807,07808,04785,,,2014/01/18,2200,4,,,10000000000000000,0100,CN1,71,0406,01435,04785,AT
"POINT (-46.6482205735604 -23.5664865511153)",D011400092,12165,04939,,,2014/01/13,0600,2,,,01010000000000000,0100,OE1,07,0110,04939,12165,CO
"POINT (-46.610362740305 -23.5201539651056)",D011401705,12457,05328,,,2014/01/08,1700,4,C,,01000000000000000,0101,CN2,88,0001,12457,27166,AT
"POINT (-46.693565634539 -23.5609680376615)",D011400454,16017,05334,,,2014/01/22,1850,2,,,01000000000100000,0100,OE1,63,0306,05334,16017,CO
"POINT (-46.6067360508469 -23.5678349957897)",D011400242,02984,05438,,,2014/01/25,0700,2,,,20000000000000000,0100,SE2,33,0206,02984,05438,CO
"POINT (-46.7072245227884 -23.6632792557365)",D011401175,19844,05503,,,2014/01/07,0840,2,,,00001001000000000,0100,SO2,16,0601,05503,19844,CO
"POINT (-46.6246375365139 -23.5042598193337)",D011400776,05741,05567,,,2014/01/16,0710,2,,,20000000000000000,0200,CN2,71,0402,05567,05741,CO
"POINT (-46.5276991027494 -23.5297979545238)",D011401033,14992,05577,,,2014/01/21,2155,2,,,20000000000000000,0100,LE1,60,0503,04723,07952,CO
"POINT (-46.6532201306584 -23.6674624155111)",D011400399,17320,05606,,,2014/01/23,1700,2,,,11000000000000000,0100,SU2,22,0225,05606,17320,CO
"POINT (-46.6154669045055 -23.6026348667748)",D011400197,17755,05618,,,2014/01/06,0750,4,,,10000000000000000,0100,SU1,27,0201,05618,17755,AT
"POINT (-46.6429329941265 -23.6395010347879)",D011400307,07882,05634,,,2014/01/16,0739,2,,,01100000000000000,0100,SU2,37,0213,05634,07882,CO
"POINT (-46.4464250961138 -23.528603710234)",D011401466,98912,05745,,,2014/01/08,1808,2,,,01000000000000000,0100,LE3,36,0705,05745,98912,SI
"POINT (-46.5932641512454 -23.5623337397074)",D011401047,08270,05853,,,2014/01/10,0840,2,,,11000000000000000,0200,SE2,54,0507,05853,08270,CO
"POINT (-46.6367744687085 -23.6335752562712)",D011400305,11734,05859,,,2014/01/13,1220,2,,,11000000000000000,0200,SU2,37,0213,05859,11734,CL
"POINT (-46.6601419876907 -23.6046920018948)",D011400253,11426,05956,,,2014/01/04,1215,2,,,11000000000000000,0100,SO1,53,0208,05956,11426,CO
"POINT (-46.6673738753553 -23.6543833506701)",D011401254,34128,05965,,,2014/01/23,2227,4,,,01000000000000000,0100,SU2,22,0609,05965,34128,AT
"POINT (-46.6691797425026 -23.6159117360885)",D011400273,16675,06038,,,2014/01/18,2020,2,,,10001000000000000,0100,SO2,15,0209,06038,16675,CH
"POINT (-46.7083018349734 -23.518368205535)",D011400413,10635,06054,,,2014/01/15,1900,2,,,10000000000000000,0100,NO1,48,0302,06054,10635,CH
"POINT (-46.5638328677221 -23.5531120135785)",D011401102,06440,06305,,,2014/01/21,2311,2,,,10000000000100000,0100,SE1,82,0513,06305,06440,CT
"POINT (-46.7072805158399 -23.5508157688792)",D011400442,05885,06342,,,2014/01/14,0930,2,,,20000000000000000,0100,OE1,02,0305,05885,06342,CO
"POINT (-46.6277839816921 -23.6223675383123)",D011400211,00066,06347,,,2014/01/17,1530,2,,,10000000000100000,0100,SU1,27,0202,00066,06347,CO
"POINT (-46.579717797817 -23.468507216906)",D011400988,12307,06428,,,2014/01/28,1020,2,,,11000000000000000,0100,CN2,38,0429,06428,12307,CO
"POINT (-46.6123968020965 -23.5301946688889)",D011400156,17112,06432,,,2014/01/30,0600,2,,,01000000000100000,0100,LE1,57,0117,06432,17112,CL
"POINT (-46.5929250396571 -23.4955776932368)",D011400916,06163,06475,,,2014/01/27,0800,2,,,11000000000000000,0100,CN2,94,0420,06163,06475,CO
"POINT (-46.7486465837871 -23.6031896613568)",D011400553,18470,06582,,,2014/01/17,1330,4,,,00100000000000000,0100,OE3,96,0317,06582,18470,AT
"POINT (-46.6302176146232 -23.559823054686)",D011400026,11649,06623,,,2014/01/29,0201,2,,,10000000000000000,0100,SU1,49,0101,06623,11649,CH
"POINT (-46.6279417764335 -23.5413795303269)",D011400031,13853,06642,,,2014/01/29,1820,2,,,11000000000000000,0200,CN3,80,0101,06642,13853,CO
"POINT (-46.6254978056574 -23.5318962245003)",D011400153,05567,06642,,,2014/01/21,1211,4,,,00000000000100000,0200,CN2,09,0117,05567,06642,AT
"POINT (-46.7049464435752 -23.5723394462698)",D011400633,19817,06819,,,2014/01/04,1715,2,,,11000000000000000,0100,OE2,12,0327,07500,10674,CT
"POINT (-46.6936447140828 -23.5671885563328)",D011400436,18813,06897,,,2014/01/08,1100,4,,,10000000000000000,0100,OE1,63,0304,06897,18813,AT
"POINT (-46.6820280142368 -23.5897165571114)",D011400473,11829,06897,,,2014/01/16,1330,2,,,10001000000000000,0100,SO1,34,0308,06897,11829,CO
"POINT (-46.4623485433776 -23.5507774557034)",D011401674,09580,06927,,,2014/01/29,1932,2,,,12000000000000000,0100,SE1,36,0815,06927,09580,CT
"POINT (-46.4733158580894 -23.6026555539956)",D011401605,73508,06977,,,2014/01/17,1700,2,,,01000000000000000,0200,SE1,75,0806,06977,73508,CO
"POINT (-46.6077418932998 -23.5566728963958)",D011401054,03500,06982,,,2014/01/31,2049,4,,,10000000000000000,0100,SE2,54,0507,03500,06982,AT
"POINT (-46.5723804995692 -23.5397034855452)",D011401086,34122,07014,,,2014/01/13,1445,2,,,01000000000000000,0100,LE1,82,0512,07014,34122,SI
"POINT (-46.6590302756674 -23.5528295571126)",D011400075,05245,07026,,,2014/01/24,1420,2,,,11000000000000000,0100,OE1,26,0108,05245,07026,CO
"POINT (-46.7378867787161 -23.5738810316382)",D011400746,08603,07094,,,2014/01/15,1900,2,B,,11000000000000000,0100,OE2,68,0341,07094,08603,CO
"POINT (-46.6249904309958 -23.5510276991698)",D011400028,23101,07122,,,2014/01/31,2332,2,,,20000000000000000,0200,CN3,80,0101,07122,16788,SI
"POINT (-46.6187725910569 -23.4866850403955)",D011400859,14767,07244,,,2014/01/29,0655,2,,,11000000000000000,0100,CN2,71,0413,07244,14767,CO
"POINT (-46.6548005834091 -23.5010434312887)",D011400822,00371,07425,,,2014/01/31,1855,2,,,11000000000000000,0100,CN1,21,0407,00371,07425,CO
"POINT (-46.6172579191296 -23.6198999263212)",D011401771,12421,07449,,,2014/01/27,2215,2,,,00101000000000000,0001,SU1,27,0008,07449,12421,CO
"POINT (-46.5588766586746 -23.5431324684237)",D011401101,18068,07488,,,2014/01/28,0703,2,,,10100000000000000,0200,SE1,82,0513,07488,18068,CO
"POINT (-46.6815462695636 -23.5254768688807)",D011401704,32617,07491,,,2014/01/07,2045,4,C,,10000000000000000,0001,NO1,06,0001,32617,,AT
"POINT (-46.5658753090845 -23.6068007750723)",D011401115,16826,07545,,,2014/01/31,0540,2,,,11000000000000000,0100,SE2,95,0516,07545,16826,CT
"POINT (-46.6223796004703 -23.5021239196901)",D011400782,20089,07695,,,2014/01/10,2308,4,,,00000001000000000,0100,CN2,71,0403,07695,20089,AT
"POINT (-46.6609898585406 -23.4978586742602)",D011400809,20066,07721,,,2014/01/24,0325,2,,,10000001000000000,0100,CN1,21,0406,07721,20066,CO
"POINT (-46.4572762830818 -23.4907834467156)",D011401515,05779,07742,,,2014/01/07,1700,2,,,01000000000000000,0100,LE3,89,0712,05779,07742,CH
"POINT (-46.6116558347708 -23.6023751225116)",D011400228,07875,07746,,,2014/01/08,0810,4,,,00000000000100000,0100,SU1,33,0204,07746,07875,AT
"POINT (-46.6500875295704 -23.7030347199221)",D011401344,74714,07785,,,2014/01/30,1935,2,,,11000000000000000,0100,SU3,59,0621,07785,74714,CO
"POINT (-46.6760325947595 -23.5412722679232)",D011400506,18519,07828,,,2014/01/27,1315,2,,,11000000000000000,0100,NO1,61,0312,10137,18519,CO
"POINT (-46.7033449078928 -23.6889297304614)",D011401418,14495,07854,,,2014/01/20,0953,2,,,20010000000000000,0100,SU3,81,0630,07854,14495,CO
"POINT (-46.393995864905 -23.5534959438347)",D011401582,16443,07901,,,2014/01/15,1839,2,,,11010000000000000,0100,LE3,31,0804,07901,16443,CO
"POINT (-46.5425035254453 -23.5562152958243)",D011401110,12381,07908,,,2014/01/30,0930,2,,,11000000000000000,0100,SE1,20,0515,07908,12381,CT
"POINT (-46.4110046393946 -23.5422463938059)",D011401550,03102,07958,,,2014/01/26,0030,2,,,11000000000000000,0200,LE3,47,0718,03102,07958,CO
"POINT (-46.7395868539249 -23.5961636847316)",D011401726,07500,07998,,,2014/01/27,1730,2,,,11000000000000000,0001,OE3,96,0003,03984,07500,CV
"POINT (-46.7368338354118 -23.6417954391907)",D011400708,99498,08000,,,2014/01/18,1120,2,,,01000000000100000,0100,SO3,85,0336,08000,99498,CO
"POINT (-46.7368338354118 -23.6417954391907)",D011400710,99498,08000,,,2014/01/16,1340,2,,,11000000000000000,0100,SO3,85,0336,08000,99498,CO
"POINT (-46.6419878323951 -23.5319806297281)",D011400161,05098,08023,,,2014/01/09,1130,4,,,10000000000000000,0100,CN1,70,0119,05098,08023,AT
"POINT (-46.6444349629207 -23.5335581149879)",D011400162,17115,08023,,,2014/01/10,1409,2,,,02000000000000000,0100,CN1,70,0119,08023,17115,CO
"POINT (-46.5970209224567 -23.5987672915425)",D011400227,11379,08224,,,2014/01/03,0241,2,,,10000000000000010,0100,SU1,33,0204,08224,11379,CO
"POINT (-46.5527783704637 -23.5289332102247)",D011401041,17277,08262,,,2014/01/30,0900,2,,,00000001000000000,0400,LE1,60,0503,08262,17277,CH
"POINT (-46.646705880051 -23.6281424992576)",D011400294,04676,08274,,,2014/01/31,2342,2,,,20000000000000000,0100,SU2,79,0211,04676,08274,SI
"POINT (-46.6788409684096 -23.6139465001235)",D011400265,00999,08377,,,2014/01/13,1500,2,,,11000000000000000,0100,SO2,34,0209,00999,08377,CL
"POINT (-46.6217395509745 -23.4830916930946)",D011400838,02580,08436,,,2014/01/06,0300,2,,,00000000000100000,0100,CN2,71,0410,02580,08436,CH
"POINT (-46.6076636177174 -23.522352325835)",D011400783,14270,08466,,,2014/01/29,0800,2,,,11000000000000000,0100,TT,88,0403,08466,14270,CT
"POINT (-46.6001597879819 -23.5086532536137)",D011400794,04896,08466,,,2014/01/27,1630,2,B,,10001000000000000,0100,CN2,88,0404,04896,08466,CO
"POINT (-46.7119858162495 -23.5609941846197)",D011400635,00855,08573,,,2014/01/08,1210,2,,,11000000000000000,0100,OE2,12,0327,00855,08573,CL
"POINT (-46.6830900525518 -23.5498381958457)",D011400461,05507,08615,,,2014/01/31,1320,2,,,11000000000000000,0100,OE1,63,0307,05507,08615,CO
"POINT (-46.6484909595735 -23.537604825936)",D011400175,10101,08656,,,2014/01/26,1930,2,,,10000001000000000,0100,NO1,70,0120,08656,10101,CO
"POINT (-46.4683853126052 -23.5108086324781)",D011401520,02510,08691,,,2014/01/24,1534,2,,,00100000000000000,0100,LE2,89,0712,02510,08691,SI
"POINT (-46.6778133057014 -23.5641531204265)",D011400449,16919,08714,,,2014/01/22,0630,2,,,00010000000000000,0100,OE1,63,0306,03581,16919,OU
"POINT (-46.6778133057014 -23.5641531204265)",D011400459,16919,08714,,,2014/01/29,1256,2,,,11000000000000000,0100,OE1,63,0307,03581,16919,CL
"POINT (-46.6063616498271 -23.5484686977531)",D011400122,07790,08798,,,2014/01/17,0630,2,C,,20000000000000000,0100,LE1,10,0113,07790,08798,CO
"POINT (-46.6854252348107 -23.5510695389262)",D011400440,10387,08844,,,2014/01/11,1941,2,,,10000000000100000,0100,OE1,63,0305,08844,10387,CO
"POINT (-46.5604546373445 -23.5339520933347)",D011401129,04807,08972,,,2014/01/17,1930,4,,,10000000000000000,0100,LE1,82,0517,04807,08972,AT
"POINT (-46.4446217287348 -23.5945707186155)",D011401628,46936,09044,,,2014/01/19,1820,2,,,11000000000000000,0100,LE3,32,0809,09044,46936,CO
"POINT (-46.6776007208592 -23.4829156027309)",D011400886,03771,09063,,,2014/01/18,1055,2,,,20000000000000000,0100,NO2,29,0416,03771,09063,CO
"POINT (-46.6514397089945 -23.4887156141698)",D011400823,03813,09078,,,2014/01/18,0530,2,,,01000000000000000,0100,CN1,21,0407,03813,09078,QM
"POINT (-46.476271131006 -23.5167719772277)",D011401750,21253,09084,,,2014/01/20,1800,4,,,00010000000000000,0001,LE2,65,0006,09084,21253,AT
"POINT (-46.4570835076837 -23.5531463512402)",D011401474,18803,09127,,,2014/01/17,1900,2,,,02000000000000000,0100,SE1,36,0706,09127,18803,CO
"POINT (-46.6388409444797 -23.5411252032874)",D011400056,17115,09276,,,2014/01/18,0700,4,,,00000000000000010,0100,CN3,67,0106,09276,17115,AT
"POINT (-46.6274393650657 -23.6041233495261)",D011400217,00457,09338,,,2014/01/16,1900,2,,,01000000000100000,0100,SU2,79,0202,00457,12242,CO
"POINT (-46.6475686667491 -23.5428116996109)",D011400169,00989,09372,,,2014/01/27,1320,2,,,10000000000100000,0100,CN3,67,0119,00989,09372,CO
"POINT (-46.6695233855654 -23.474225551088)",D011400889,03771,09420,,,2014/01/22,1815,2,,,11000000000000000,0100,NO2,13,0417,03771,15425,CO
"POINT (-46.7890790696611 -23.676015708695)",D011401266,14305,09529,,,2014/01/18,1315,2,,,11000000000000000,0100,SO3,19,0610,09529,14305,CO
"POINT (-46.5674877145075 -23.5406103106796)",D011401098,09572,09595,,,2014/01/24,1040,2,,,11000000000000000,0100,SE1,82,0513,09572,09595,CT
"POINT (-46.7206112895813 -23.5205664514417)",D011400724,14172,09625,,,2014/01/17,2315,4,,,10000000000000000,0100,NO1,48,0338,09625,14172,AT
"POINT (-46.6390201070602 -23.6174886033888)",D011400201,06882,09715,,,2014/01/15,0130,2,,,20000000000000000,0100,SU2,79,0201,06882,09715,CO
"POINT (-46.6563689589785 -23.611895582769)",D011400264,35829,09899,,,2014/01/13,1550,2,,,11000000000000000,0100,SU2,53,0209,09899,35829,CO
"POINT (-46.5531890952175 -23.5292472584543)",D011401040,17277,09900,,,2014/01/24,0620,2,,,11000000000000000,0100,LE1,60,0503,09900,17277,CT
"POINT (-46.4938507023073 -23.5235683505715)",D011401453,98965,09962,,,2014/01/20,1300,2,,,11000000000000000,0100,LE2,60,0704,09962,98965,CO
"POINT (-46.6507476579098 -23.5695187238458)",D011400190,12165,10004,,,2014/01/20,1424,4,B,,00000001000000000,0100,SO1,44,0122,10004,12165,AT
"POINT (-46.5466198946578 -23.5205776625046)",D011401029,16052,10100,,,2014/01/10,2045,2,,,11000000000000000,0200,LE1,60,0502,10100,16052,CO
"POINT (-46.6402729430434 -23.5423432868765)",D011400061,09276,10101,,,2014/01/21,2130,4,,,00100000000000000,0100,CN3,67,0106,09276,10101,AT
"POINT (-46.7227182481635 -23.644861642616)",D011401182,03216,10270,,,2014/01/10,0900,2,,,11000000000000000,0100,SO2,72,0601,03216,10270,CO
"POINT (-46.688063281057 -23.558929284862)",D011400435,09122,10319,,,2014/01/09,1325,2,,,11000000000000000,0100,OE1,63,0304,07106,09122,CO
"POINT (-46.6758184679469 -23.5630767535522)",D011400441,16919,10387,,,2014/01/15,1700,2,,,01000000000100000,0100,OE1,44,0305,10387,16919,CO
"POINT (-46.4341584770987 -23.5124568914137)",D011401477,11542,10416,,,2014/01/25,1930,2,,,11000000000000000,0100,LE3,76,0706,10416,11542,CO
"POINT (-46.5447283061797 -23.5232798892744)",D011401046,10100,10439,,,2014/01/07,0837,2,,,00000001000000000,2800,LE1,60,0505,00954,10100,CH
"POINT (-46.5999559705443 -23.5467964668459)",D011400131,00543,10488,,,2014/01/18,1910,2,,,01000000000100000,0100,LE1,54,0114,00543,10488,CL
"POINT (-46.5999559705443 -23.5467964668459)",D011400132,00543,10488,,,2014/01/30,1539,2,,,01000000000100000,0100,LE1,54,0114,00543,10488,CT
