WKT,Cadlog,Id_acident,Cadloga,Cadlogb,Alt_num,Referencia,Data,Hora,Cod_acid,Fonte,Viatura,Dp,Talao,Sentido,Pista,Veiculos,Vitimas,Dec,Distrito,Folha,Princ_a,Princ_b,Placa1,Tipo_plac1,Placa2,Tipo_plac2,Placa3,Tipo_plac3,Tipo_acide,Flag_dupl,Nv_dupl,Duplacas,Dia
"POINT (-46.632054 -23.556534)",,D011100001,33306,,100,,2011/01/02,1612,2,D,,01,20,,,10000000000000000,0200,HG,02,0100,33667,,KWP2259,AU,,,,,SI,,,,
"POINT (-46.637519 -23.559496)",,D011100002,11818,,749,,2011/01/03,0840,2,D,,01,33,,,11000000000000000,0100,CT,49,0100,11818,,DYW2218,MO,BST2825,AU,,,CO,,,,
"POINT (-46.647363 -23.5473)",,D011100003,33667,,,NC,2011/01/03,1114,2,D,,01,41,,,11000000000000000,0100,CT,02,0100,33667,,DZQ2780,MO,DSG0177,AU,,,SI,,,,
"POINT (-46.637821 -23.556102)",,D011100004,33667,,,NC,2011/01/03,1432,2,D,,01,45,,,20000000000000000,0100,CT,02,0100,33667,,EMP8973,AU,EES4965,AU,,,CT,,,,
"POINT (-46.635234 -23.551538)",,D011100005,10376,,01,,2011/01/06,0842,2,D,,01,144,,,11000000000000000,0200,CT,80,0100,10376,,DVU5879,MO,EFU6878,AU,,,CT,,,,
"POINT (-46.634994 -23.549879)",,D011100006,16744,03189,,,2011/01/06,1415,4,D,,01,161,,,01000000000000000,0100,CT,80,0100,03189,16744,EJM2403,MO,,,,,AT,,,,
"POINT (-46.637821 -23.556102)",,D011100007,33667,,,ENVD GLORIA,2011/01/08,0348,2,D,,01,212,B,,10000000000000000,0200,CT,02,0100,33667,,EEY8407,AU,,,,,CT,,,,
"POINT (-46.636219 -23.549541)",,D011100009,03189,,,PXR QUINTINO B,2011/01/11,1731,4,D,,01,333,,,00000001000000000,0100,CT,80,0101,03189,,ECT7839,OU,,,,,AT,,,,
"POINT (-46.638555 -23.549952)",,D011100010,19764,,100,,2011/01/12,1326,4,D,,01,357,,,10000000000000000,0100,VM,17,0101,19764,,CRW4523,AU,,,,,AT,,,,
"POINT (-46.626893 -23.534542)",,D011100011,04146,,1142,,2011/01/12,1630,4,D,,01,366,,,10000000000000000,0100,CT,09,0101,04146,,CNT2842,AU,,,,,AT,,,,
"POINT (-46.637222 -23.556022)",,D011100226,33667,,,NC,2011/01/14,0715,2,D,,01,419,B,,11000000000000000,0100,CT,02,0126,33667,,DFA5326,MO,ELF5537,AU,,,SI,,,,
"POINT (-46.631385 -23.539756)",,D011100012,16725,,478,,2011/01/14,1850,4,D,,01,452,,,10000000000000000,0100,CT,09,0101,16725,,DVI0997,AU,,,,,AT,,,,
"POINT (-46.63463 -23.56199)",,D011100013,07733,,571,,2011/01/15,1335,2,D,,01,469,,,20000000000000000,0100,CT,80,0101,07733,,CJB0558,AU,DMG5515,AU,,,CO,,,,
"POINT (-46.640328 -23.551212)",,D011100014,09758,,10,,2011/01/16,0800,2,D,,01,486,,,10000000000000000,0100,CT,67,0101,09758,,DDR4315,AU,,,,,CH,,,,
"POINT (-46.632891 -23.5526)",,D011100015,01454,10376,,,2011/01/17,0735,4,D,,01,494,,,00000001000000000,0100,CT,80,0101,07664,10376,DJE8770,OU,,,,,AT,,,,
"POINT (-46.632016 -23.539512)",,D011100016,16725,19745,,,2011/01/17,1238,2,D,,01,506,,,00100000000000000,0100,CT,67,0101,16725,19745,DJE8569,ON,,,,,QD,,,,
"POINT (-46.627227 -23.55271)",,D011100017,08024,,,NC,2011/01/18,2230,4,D,,01,560,,,10000000000000000,0100,CT,80,0101,08024,,CMJ1596,AU,,,,,AT,,,,
"POINT (-46.633954 -23.549866)",,D011100018,17545,,300,,2011/01/20,1310,4,D,,01,622,,,11000000000000000,0100,CT,01,0101,17545,,DZS7350,MO,ETN7669,AU,,,AT,,,,
"POINT (-46.635213 -23.551687)",,D011100020,15635,,,NC,2011/01/25,0631,4,D,,01,754,,,10000000000000000,0100,CT,80,0102,13317,,DJB1839,AU,,,,,AT,,,,
"POINT (-46.641134 -23.550856)",,D011100021,09758,,100,,2011/01/26,2114,4,D,,01,806,,,10000000000000000,0100,CT,67,0102,09758,,AOJ4569,AU,,,,,AT,,,,
"POINT (-46.62817 -23.556385)",,D011100023,18777,,10,,2011/01/29,1900,2,D,,01,902,,,10001000000000000,0100,IP,02,0102,18777,,EBB9013,AU,,BI,,,CO,,,,
"POINT (-46.626252 -23.547395)",,D011100024,07122,16870,,,2011/01/30,1020,2,D,,01,912,,,01000000000100000,0100,CT,,0102,07122,16870,DWV1190,MO,FDJ8800,CM,,,CL,,,,
"POINT (-46.625376 -23.55341)",,D011100026,07122,06642,,,2011/01/31,1900,2,D,,01,956,,,01000000000000000,0100,CT,80,0102,06642,07122,DCS8807,MO,,,,,QM,,,,
"POINT (-46.633735 -23.539316)",,D011100027,16725,16593,,,2011/01/11,2230,4,D,,01,1048,,,00000000000000010,0100,CT,67,0102,16593,16725,SIU,SI,,,,,AT,,,,
"POINT (-46.637222 -23.556022)",,D011100028,33667,,,ENVD GLORIA,2011/01/29,1140,2,D,,01,1208,,,11000000000000000,0100,CT,02,0102,33667,,DZN7560,MO,EQK6073,AU,,,CT,,,,
"POINT (-46.680528 -23.513392)",,D011100029,04561,,5200,,2011/01/03,1600,4,D,,02,17,,,10000000000000000,0100,TT,06,0103,29772,,EMX1450,AU,,,,,AT,,,,
"POINT (-46.674401 -23.515182)",,D011100030,04561,,5000,,2011/01/04,0730,2,D,,02,29,,,12000000000000000,0100,TT,06,0103,29772,,SI,MO,KUS2824,MO,JJA1492,AU,CO,,,,
"POINT (-46.632742 -23.523725)",,D011100031,06642,,680,,2011/01/12,0453,2,D,,02,84,,,00010000000100000,0100,CT,09,0103,06642,,ERA7799,CA,EBC3474,CM,,,CH,,,,
"POINT (-46.634763 -23.531826)",,D011100032,00283,17060,,,2011/01/14,1530,4,D,,02,104,C,,00100000000000000,0100,HG,09,0103,00283,17060,DTC6706,ON,,,,,AT,,,,
"POINT (-46.638483 -23.527234)",,D011100033,14528,,18,,2011/01/17,1257,2,D,,02,129,,,00001000000100000,0100,HG,09,0103,14528,,BOE9452,CM,,BI,,,CH,,,,
"POINT (-46.631885 -23.528696)",,D011100034,17799,,01,,2011/01/10,0840,4,D,,02,132,C,,10000000000000000,0100,CT,15,0103,17799,,EMF0496,AU,,,,,AT,,,,
"POINT (-46.650467 -23.518026)",,D011100035,04561,18411,,,2011/01/19,0115,2,D,,02,153,,,10000000000000010,0200,TT,09,0103,04561,18411,EBC9051,AU,SI,SI,,,CO,,,,
"POINT (-46.642715 -23.523518)",,D011100036,02864,07216,,,2011/01/17,1325,2,D,,02,158,,,11000000000000000,0100,HG,09,0103,02864,07216,DPX3389,AU,CJN6560,MO,,,CO,,,,
"POINT (-46.631477 -23.525966)",,D011100037,17799,,293,,2011/01/21,0330,4,D,,02,165,,,10000000000000000,0100,CT,15,0103,17799,,DWA3015,AU,,,,,AT,,,,
"POINT (-46.630334 -23.523287)",,D011100038,17799,,600,,2011/01/25,1310,2,D,,02,195,C,,01000000000000000,0200,CT,15,0103,17799,,JLX0381,MO,,,,,CO,,,,
"POINT (-46.631603 -23.526771)",,D011100039,17799,,167,,2011/01/26,1700,4,D,,02,220,,,01000000000000000,0200,CT,15,0104,17799,,DXM2476,MO,,,,,AT,,,,
"POINT (-46.630832 -23.525778)",,D011100040,17799,,280,,2011/01/26,1840,2,D,,02,221,B,,02000000000000000,0100,CT,15,0104,17799,,DXK2959,MO,EXE4931,MO,,,CT,,,,
"POINT (-46.648715 -23.527049)",,D011100041,17507,,,PXPTE CASA VERD,2011/01/28,0114,2,D,,02,236,C,,11000000000000000,0100,HG,70,0104,17507,,EJN3284,MO,CYQ7235,AU,,,SI,,,,
"POINT (-46.647191 -23.518445)",,D011100042,09489,04561,,,2011/01/31,1625,4,D,,02,264,,,01000000000000000,0200,TT,09,0104,04561,09489,EQR4341,MO,,,,,AT,,,,
"POINT (-46.630808 -23.527323)",,D011100043,18993,,931,,2011/01/31,2011,4,D,,02,267,C,,00000001000000000,0100,CT,09,0104,18993,,DTB7247,OU,,,,,AT,,,,
"POINT (-46.598716 -23.527213)",,D011100044,04561,,,NC,2011/01/18,1450,2,D,,02,409,,,00010000000100000,0200,TT,06,0104,29772,,BTO9309,CA,DDR6554,CM,,,CO,,,,
"POINT (-46.72149 -23.507182)",,D011100045,35449,,,KM79,2011/01/02,1915,2,D,,02,72,,,30000000000100000,0200,RV,64,0104,35449,,EIT5775,AU,EPP4502,CM,DIF2945,AU,CT,,,,
"POINT (-46.636118 -23.538979)",,D011100048,00700,,,FTPOUPA,2011/01/03,1725,2,D,,03,83,,,11000000000000000,0100,CT,67,0105,00700,,DUV7444,MO,DLM4825,AU,,,CL,,,,
"POINT (-46.637306 -23.539893)",,D011100049,09276,,1225,,2011/01/05,2150,4,D,,03,124,,,00000001000000000,0100,CT,67,0105,09276,,DJC2065,OU,,,,,AT,,,,
"POINT (-46.63887 -23.548487)",,D011100050,14804,,,ENTUNEL ANHANG,2011/01/06,1015,2,D,,03,140,,,10000000000100000,0100,CT,63,0105,14804,,CLX0223,AU,DPA8958,CM,,,CT,,,,
"POINT (-46.640664 -23.537968)",,D011100051,08536,,336,,2011/01/06,1325,4,D,,03,157,,,10000000000000000,0100,HG,70,0105,08536,,DIM2731,AU,,,,,AT,,,,
"POINT (-46.643287 -23.539953)",,D011100052,11883,,49,,2011/01/08,2215,4,D,,03,225,,,10000000000000000,0100,HG,70,0105,11883,,DPN2328,AU,,,,,AT,,,,
"POINT (-46.634516 -23.539928)",,D011100053,07418,,167,,2011/01/09,1015,2,D,,03,235,,,10000001000000000,0100,CT,67,0105,07418,,CJD6100,AU,DTB1465,OU,,,CL,,,,
"POINT (-46.644926 -23.546236)",,D011100054,09276,02115,,,2011/01/12,0235,2,D,,03,324,,,20000000000000000,0400,HG,80,0105,02115,09276,CQZ7095,AU,EQF8169,AU,,,CO,,,,
"POINT (-46.633492 -23.537757)",,D011100055,16593,,750,,2011/01/12,1718,4,D,,03,348,,,01000000000000000,0200,CT,09,0105,16593,,DRW7741,MO,,,,,AT,,,,
"POINT (-46.63679 -23.547469)",,D011100056,04831,,,PXR CEL XAVIER,2011/01/13,1245,4,D,,03,369,,,01000000000000000,0100,CT,67,0105,04831,,MDS1171,MO,,,,,AT,,,,
"POINT (-46.638022 -23.543641)",,D011100057,15323,,,NC,2011/01/13,1520,4,D,,03,373,,,01000000000000000,0100,CT,05,0105,15323,,DKM4788,MO,,,,,AT,,,,
"POINT (-46.643459 -23.544951)",,D011100059,09276,,282,,2011/01/21,1308,2,D,,03,588,,,01000000000100000,0100,CT,67,0106,09276,,DXN6075,MO,ELC6653,CM,,,CL,,,,
"POINT (-46.636389 -23.539551)",,D011100060,00700,04541,,,2011/01/21,2254,4,D,,03,595,,,10000000000000000,0100,HG,67,0106,04541,16725,DMZ9506,AU,,,,,AT,,,,
"POINT (-46.641432 -23.547737)",,D011100061,10986,05245,,,2011/01/22,1219,4,D,,03,606,,,10000000000000000,0100,CT,,0106,05245,10986,EMV1223,AU,,,,,AT,,,,
"POINT (-46.641435 -23.548029)",,D011100062,05245,,21,,2011/01/22,1534,2,D,,03,613,,,11000001000000000,0200,JD,26,0106,05245,,DPH3903,MO,DTE1437,OU,DRB2259,AU,CO,,,,
"POINT (-46.640274 -23.54234)",,D011100063,09276,10101,,,2011/01/26,0800,4,D,,03,681,,,01000000000000000,0100,CT,67,0106,09276,10101,DUW0314,MO,,,,,AT,,,,
"POINT (-46.634821 -23.545616)",,D011100064,10101,,,NC,2011/01/29,2100,4,D,,03,797,B,,10000000000000000,0100,SI,67,0106,10101,,CIC6605,AU,,,,,AT,,,,
"POINT (-46.639261 -23.536559)",,D011100065,01267,,424,,2011/01/02,1120,4,D,,03,900,,,00000000000100000,0100,HG,67,0106,01267,,DVR2163,CM,,,,,AT,,,,
"POINT (-46.641566 -23.547676)",,D011100068,05245,,10,,2011/01/02,1250,2,D,,04,25,,,20000000000000000,0100,JD,26,0108,05245,,EFV0669,AU,CTA0570,AU,,,CO,,,,
"POINT (-46.647975 -23.550574)",,D011100069,02497,03874,,,2011/01/05,0200,2,D,,04,96,,,11000000000000000,0100,PA,26,0108,02497,03874,DYZ5369,MO,HML6608,AU,,,CO,,,,
"POINT (-46.663645 -23.549911)",,D011100070,09533,04193,,,2011/01/06,0800,2,D,,04,135,,,20000000000000000,0200,SP,26,0108,04193,09533,EFA1823,AU,DRO6664,AU,,,CH,,,,
"POINT (-46.651401 -23.548917)",,D011100071,05245,,1059,,2011/01/06,1556,4,D,,04,140,C,,00000001000000000,0100,JD,26,0108,05245,,CZZ8185,OU,,,,,AT,,,,
"POINT (-46.643833 -23.55027)",,D011100072,14804,,360,,2011/01/09,2100,4,D,,04,259,,,01000000000000000,0100,JD,63,0108,14804,,TRV1559,MO,,,,,AT,,,,
"POINT (-46.643517 -23.547662)",,D011100073,05245,,222,,2011/01/12,1020,2,D,,04,260,,,11000000000000000,0100,JD,26,0108,05245,,CDP0951,MO,DWQ0545,AU,,,CO,,,,
"POINT (-46.659286 -23.548885)",,D011100074,01356,15412,,,2011/01/10,1920,2,D,,04,270,B,,11000000000000000,0100,HG,26,0108,01356,15412,ECD6620,MO,SI,AU,,,CL,,,,
"POINT (-46.651561 -23.54854)",,D011100075,05245,,1050,,2011/01/15,1050,2,D,,04,331,B,,11000000000000000,0200,JD,26,0108,05245,,DRW2776,MO,ELK0981,AU,,,CT,,,,
"POINT (-46.661662 -23.557861)",,D011100076,08562,,76,,2011/01/20,0810,2,D,,04,452,,,21000000000100000,0100,JD,26,0108,08562,,EIE6777,MO,EUC7265,AU,ECM4620,AU,CH,,,,
"POINT (-46.647827 -23.55353)",,D011100077,21064,,,NC,2011/01/14,1750,4,D,,04,467,B,,00000001000000000,0100,PA,17,0108,14804,,DTB9588,OU,,,,,AT,,,,
"POINT (-46.644865 -23.546416)",,D011100078,02115,,112,,2011/01/20,0700,4,D,,04,484,,,00000000000100000,0100,HG,67,0109,02115,,DVK2942,CM,,,,,AT,,,,
"POINT (-46.653957 -23.552897)",,D011100079,02497,,867,,2011/01/21,1800,2,D,,04,495,B,,00000001000000000,0100,JD,26,0109,02497,,DTA3946,OU,,,,,QF,,,,
"POINT (-46.655109 -23.55236)",,D011100080,03034,,269,,2011/01/22,0615,2,D,,04,502,C,,30000000000100000,0100,JD,26,0109,03034,,BEX1517,AU,CZD7465,CM,NFR5746,AU,CH,,,,
"POINT (-46.659207 -23.552598)",,D011100081,05245,,1950,,2011/01/27,0845,2,D,,04,611,B,,10100000000000000,0100,JD,26,0109,05245,,EQM5642,AU,DTE5068,ON,,,CT,,,,
"POINT (-46.649619 -23.55598)",,D011100082,16708,08987,,,2011/01/27,1140,2,D,,04,616,,,11000000000000000,0100,HG,07,0109,14804,16708,DAC9598,MO,EDR7216,AU,,,SI,,,,
"POINT (-46.671468 -23.553727)",,D011100083,18813,,,NC,2011/01/27,1351,4,D,,04,622,,,00100000000000000,0100,LP,20,0109,18813,,DTB2578,ON,,,,,AT,,,,
"POINT (-46.643557 -23.548635)",,D011100084,13632,,100,,2011/01/29,2306,2,D,,04,678,,,11000000000000000,0100,PA,67,0109,13632,,DOU5748,MO,DHK8993,AU,,,CO,,,,
"POINT (-46.646862 -23.547139)",,D011100085,05245,,500,,2011/01/31,1820,2,D,,04,724,B,,11000000000000000,0100,JD,26,0109,05245,,DVE6381,MO,EBB8144,AU,,,CO,,,,
"POINT (-46.637264 -23.551487)",,D011100086,19764,,,PXVD DONA PAULI,2011/01/01,1530,2,D,,05,11,C,,10000000000000000,0100,VM,17,0110,19764,,DUM2064,AU,,,,,CH,,,,
"POINT (-46.63641 -23.565621)",,D011100087,18618,,822,,2011/01/04,1650,2,D,,05,78,,,11000000000000000,0100,CT,49,0110,18618,,EHY8665,MO,CON8245,AU,,,CO,,,,
"POINT (-46.648919 -23.567605)",,D011100088,12165,15656,,,2011/01/06,0650,2,D,,05,99,,,10000001000000000,0400,PA,07,0110,12165,15656,BFD7044,AU,DTA6347,OU,,,CO,,,,
"POINT (-46.637264 -23.551487)",,D011100089,19764,,,KM28,2011/01/11,1430,2,D,,05,240,,,11000000000000000,0100,VM,17,0110,19764,,EKJ0126,MO,DRF1593,AU,,,CO,,,,
"POINT (-46.647584 -23.554695)",,D011100090,01521,,733,,2011/01/14,0135,2,D,,05,286,,,10000000000000000,0300,CT,67,0110,01521,,DLM3142,AU,,,,,CH,,,,
"POINT (-46.643911 -23.561255)",,D011100092,12165,16849,,,2011/01/19,1915,2,D,,05,436,,,11000000000000000,0100,PA,07,0110,12165,16849,EJQ5722,MO,DTX0402,AU,,,CL,,,,
"POINT (-46.639728 -23.57178)",,D011100093,19583,,1061,,2011/01/21,1609,2,D,,05,475,,,02000000000000000,0100,CT,33,0110,19583,,DZP8986,MO,DUY7365,MO,,,SI,,,,
"POINT (-46.640349 -23.574112)",,D011100094,19583,,1353,,2011/01/21,1230,2,D,,05,476,,,11000000000000000,0200,CT,33,0110,19583,,EQE5310,MO,DZK2736,AU,,,CT,,,,
"POINT (-46.645917 -23.55223)",,D011100095,01521,10407,,,2011/01/25,1800,2,D,,05,572,,,21000000000000000,0100,PA,67,0111,01521,10407,DXD9745,MO,DNT5279,AU,EQJ2304,AU,CO,,,,
"POINT (-46.644458 -23.571266)",,D011100096,15656,15153,,,2011/01/26,1340,2,D,,05,591,,,01000001000000000,0100,PA,92,0111,15153,15656,DHJ7749,MO,DTB7696,OU,,,CO,,,,
"POINT (-46.647834 -23.555948)",,D011100097,01521,,885,,2011/01/29,0438,4,D,,05,650,,,10000000000000000,0200,CT,67,0111,01521,,DAY9945,AU,,,,,AT,,,,
"POINT (-46.648919 -23.567605)",,D011100098,15656,12165,,,2011/01/30,0545,4,D,,05,677,,,10000000000000000,0100,PA,07,0111,12165,15656,CAL4578,AU,,,,,AT,,,,
"POINT (-46.619233 -23.576755)",,D011100100,02946,,849,,2011/01/01,2336,2,D,,06,19,,,11000000000000000,0100,IP,14,0112,02946,,CTM6824,AU,DUY0033,MO,,,CO,,,,
"POINT (-46.630094 -23.559727)",,D011100101,11649,,115,,2011/01/04,1100,4,D,,06,34,,,00000000000100000,0100,IP,49,0112,11649,,EBS3868,CM,,,,,AT,,,,
"POINT (-46.626686 -23.59521)",,D011100102,19583,,4260,,2011/01/10,1136,2,D,,06,94,,,11000000000000000,0100,CT,33,0112,19583,,ECS5889,MO,EVD6716,AU,,,CO,,,,
"POINT (-46.625742 -23.573606)",,D011100103,15767,,700,,2011/01/05,0914,2,D,,06,95,,,30001000000000000,0100,IP,12,0112,15767,,DFR6472,AU,,BI,KNU2036,AU,CO,,,,
"POINT (-46.627709 -23.576941)",,D011100104,02946,,,NC,2011/01/08,0200,2,D,,06,106,,,10000000000000000,0100,IP,14,0112,02946,,DSS9436,AU,,,,,CH,,,,
"POINT (-46.6214 -23.565632)",,D011100105,11922,,262,,2011/01/12,1300,2,D,,06,142,B,,11000000000000000,0100,IP,92,0112,11922,,DGB5848,AU,DJU5868,MO,,,CT,,,,
"POINT (-46.621363 -23.566467)",,D011100106,11922,,351,,2011/01/07,2119,4,D,,06,151,,,10000000000000000,0100,IP,92,0112,11922,,ERF5754,AU,,,,,AT,,,,
"POINT (-46.622998 -23.565545)",,D011100107,11515,,344,,2011/01/19,1415,2,D,,06,219,,,11000000000000000,0100,IP,14,0112,11515,,DMB4965,AU,EJP3566,MO,,,CO,,,,
"POINT (-46.62254 -23.554948)",,D011100108,12238,,798,,2011/01/20,1705,4,D,,06,241,,,10000000000000000,0100,MO,14,0112,12238,,EMS0315,AU,,,,,AT,,,,
"POINT (-46.620212 -23.561962)",,D011100109,04829,,550,,2011/01/12,1935,2,D,,06,268,,,11000000000000000,0200,IP,14,0112,04829,,FUJ4562,AU,CJN2600,MO,,,CO,,,,
"POINT (-46.637577 -23.582475)",,D011100110,19583,12452,,,2011/01/26,1600,4,D,,06,291,B,,01000000000000000,0100,VM,92,0112,12452,19583,EJM2800,MO,,,,,AT,,,,
"POINT (-46.614961 -23.582534)",,D011100111,17083,,562,,2011/01/15,1234,2,D,,06,327,,,10000001000000000,0100,IP,37,0113,17083,,DTB1430,OU,LCY1277,AU,,,CO,,,,
"POINT (-46.619694 -23.587182)",,D011100112,17083,,1200,,2011/01/15,1630,4,D,,06,331,,,10000000000000000,0100,IP,37,0113,17083,,CLT6774,AU,,,,,AT,,,,
"POINT (-46.626948 -23.569103)",,D011100114,14317,00797,,,2011/01/30,2300,2,D,,06,700,,,00001000000000000,0100,IP,49,0113,00797,14317,,BI,,,,,QM,,,,
"POINT (-46.60549 -23.549499)",,D011100116,00543,08798,,,2011/01/03,1500,2,D,,08,28,B,,11000000000000000,0100,MO,54,0114,00543,08798,CZY7190,MO,AOT0106,AU,,,CT,,,,
"POINT (-46.602578 -23.55306)",,D011100117,19163,08798,,,2011/01/04,0740,2,D,,08,35,,,11000000000000000,0100,MO,54,0114,08798,19163,EJM9432,MO,DZH0586,AU,,,CF,,,,
"POINT (-46.594042 -23.54482)",,D011100118,00543,,3300,,2011/01/05,0800,2,D,,08,52,C,,11000000100000000,0100,MO,10,0114,00543,,EQD9879,MO,EFW8352,AU,DJF7100,MC,CO,,,,
"POINT (-46.604555 -23.548874)",,D011100120,00543,,2115,,2011/01/08,0830,2,D,,08,96,C,,00100001000000000,0300,MO,10,0114,00543,,DBL0637,ON,EFW1086,OU,,,CT,,,,
"POINT (-46.604752 -23.548984)",,D011100121,00543,,2083,,2011/01/08,1344,2,D,,08,102,C,,12000000000000000,0400,MO,10,0114,00543,,DJK9637,MO,DZR1304,MO,EMN2958,AU,CT,,,,
"POINT (-46.600829 -23.550719)",,D011100122,03653,09469,,,2011/01/09,1310,2,D,,08,115,,,10001000000000000,0100,MO,08,0114,03653,09469,CVB7466,AU,,BI,,,CO,,,,
"POINT (-46.612082 -23.561967)",,D011100123,06642,,6001,,2011/01/12,1445,2,D,,08,159,C,,11000000000000000,0100,CT,09,0114,06642,,DUV6775,MO,FMU2320,AU,,,CL,,,,
"POINT (-46.606743 -23.550559)",,D011100124,00543,,1800,,2011/01/10,1712,2,D,,08,129,,,12000000000000000,0100,MO,10,0115,00543,,EQD0339,MO,EBZ5910,MO,DYI4416,AU,CO,,,,
"POINT (-46.621134 -23.556993)",,D011100125,06642,,5000,,2011/01/11,1900,2,D,,08,149,B,,20020000000000000,0100,CT,09,0115,06642,,CRT0503,CA,FCB2106,AU,FMP2051,AU,CT,,,,
"POINT (-46.609866 -23.566017)",,D011100126,06642,,6639,,2011/01/14,0800,2,D,,08,180,C,,11000000000000000,0100,CT,09,0115,06642,,DRX7941,MO,DYE9423,AU,,,CO,,,,
"POINT (-46.624809 -23.551272)",,D011100128,00543,,,ACVD BRESSER,2011/01/15,1828,2,D,,08,199,,,10010000000000000,0100,MO,10,0115,00543,,CYJ6509,AU,BRA1565,CA,,,CT,,,,
"POINT (-46.599992 -23.551581)",,D011100129,22151,03653,,,2011/01/17,1050,4,D,,08,212,,,10000000000000000,0200,MO,54,0115,03653,22151,DLM7514,AU,,,,,AT,,,,
"POINT (-46.613715 -23.543426)",,D011100130,08082,15702,,,2011/01/17,1330,2,D,,08,218,,,01010000000000000,0100,BR,10,0115,08082,15702,DUX9105,MO,FNT8210,CA,,,CO,,,,
"POINT (-46.600668 -23.547287)",,D011100131,00543,,2494,,2011/01/18,1000,2,D,,08,234,C,,11000000000000000,0100,MO,10,0115,00543,,DGR2696,MO,DYB7106,AU,,,CO,,,,
"POINT (-46.596089 -23.545263)",,D011100132,00543,,3100,,2011/01/20,0653,4,D,,08,267,C,,00000000000100000,0100,MO,10,0115,00543,,DAQ0240,CM,,,,,AT,,,,
"POINT (-46.609865 -23.552198)",,D011100133,00544,19163,,,2011/01/19,2210,2,D,,08,262,B,,11000000000000000,0200,MO,54,0116,00544,19163,DUW7317,MO,SI,AU,,,CL,,,,
"POINT (-46.618032 -23.54934)",,D011100134,16358,,661,,2011/01/20,1640,4,D,,08,275,,,00010000000000000,0100,BR,06,0116,16358,,BYG8927,CA,,,,,AT,,,,
"POINT (-46.590506 -23.545312)",,D011100135,00185,,73,,2011/01/19,1230,2,D,,08,293,,,01000000000000010,0100,BR,08,0116,00185,,DAA0709,MO,SI,SI,,,CT,,,,
"POINT (-46.611058 -23.541519)",,D011100136,10880,,104,,2011/01/22,0140,2,D,,08,296,,,01000000000000000,0200,BR,10,0116,10880,,DYY8348,MO,,,,,QM,,,,
"POINT (-46.599906 -23.54687)",,D011100137,00543,,2576,,2011/01/21,2150,2,D,,08,311,B,,01000000000000000,0100,MO,10,0116,00543,,DGM5291,MO,,,,,SI,,,,
"POINT (-46.60549 -23.549499)",,D011100138,00543,08798,,,2011/01/21,2200,2,D,,08,313,B,,00000001000100000,0100,MO,54,0116,00543,08798,DQM6368,CM,DTB4721,OU,,,CO,,,,
"POINT (-46.612789 -23.553076)",,D011100139,00544,,01,,2011/01/23,0110,2,D,,08,314,,,11000000000000000,0100,MO,10,0116,00543,,DOA4288,MO,EQY6125,AU,,,CF,,,,
"POINT (-46.583012 -23.542363)",,D011100140,00543,19387,,,2011/01/24,1533,2,D,,08,339,B,,11000000000000000,0100,MO,08,0116,00543,19387,EQE5383,MO,DUE4193,AU,,,CO,,,,
"POINT (-46.610934 -23.552467)",,D011100141,00544,,1000,,2011/01/25,0511,2,D,,08,349,C,,01000000000000000,0100,MO,10,0116,00543,,EKD0464,MO,,,,,QM,,,,
"POINT (-46.607484 -23.565766)",,D011100142,08281,,239,,2011/01/26,1650,2,D,,08,381,C,,11000000000000000,0100,MO,14,0116,08281,,EIE8582,MO,DOD1094,AU,,,CO,,,,
"POINT (-46.614034 -23.549787)",,D011100143,41280,,10,,2011/01/27,2008,4,D,,08,406,,,10000000000000000,0100,BR,16,0117,41280,,ELL0310,AU,,,,,AT,,,,
"POINT (-46.615527 -23.550673)",,D011100144,15524,,1000,,2011/01/07,2300,2,D,,08,419,,,01000000000000000,0100,BR,08,0117,15524,,EDJ5971,MO,,,,,QM,,,,
"POINT (-46.624809 -23.551272)",,D011100145,00543,,,PXVD BRESSER,2011/01/28,1500,2,D,,08,424,C,,11000000000000000,0100,MO,10,0117,00543,,DGM5368,MO,DCY1718,AU,,,SI,,,,
"POINT (-46.605969 -23.54966)",,D011100146,00543,,1921,,2011/01/28,2353,2,D,,08,433,,,10000000000000000,0200,MO,10,0117,00543,,DGV0065,AU,,,,,CH,,,,
"POINT (-46.622771 -23.551719)",,D011100147,00543,,211,,2011/01/29,2100,4,D,,08,447,,,10000000000000000,0100,MO,10,0117,00543,,DSL2085,AU,,,,,AT,,,,
"POINT (-46.608326 -23.564664)",,D011100149,05438,,16,,2011/01/22,1110,2,D,,08,494,,,11000000000000000,0100,MO,14,0117,05438,,EJR9317,MO,EMQ0948,AU,,,CO,,,,
"POINT (-46.604888 -23.549535)",,D011100150,00543,,2000,,2011/01/12,0745,2,D,,08,900005,C,,01000000000100000,0100,MO,10,0117,00543,,EGY9769,MO,EEF6348,CM,,,CT,,,,
"POINT (-46.625107 -23.521887)",,D011100151,05567,,1100,,2011/01/03,0750,4,D,,12,01,,,10000000000000000,0100,CT,05,0115,05567,,EFU9755,AU,,,,,AT,,,,
"POINT (-46.598716 -23.527213)",,D011100152,04561,,,PXPTE VL GUILHE,2011/01/04,1645,2,D,,12,34,,,01000000100100000,0100,TT,06,0115,29772,,GVK8154,MC,DQV5700,CM,CSK1520,MO,CL,,,,
