WKT,Cadlog,Id_acident,Cadloga,Cadlogb,Alt_num,Referencia,Data,Hora,Cod_acid,Fonte,Viatura,Dp,Talao,Sentido,Pista,Veiculos,Vitimas,Dec,Distrito,Folha,Princ_a,Princ_b,Placa1,Tipo_plac1,Placa2,Tipo_plac2,Placa3,Tipo_plac3,Tipo_acide,Flag_dupl,Nv_dupl,Duplacas,Dia
"POINT (-46.543037 -23.588783)",,D011101147,19708,,3793,,2011/01/07,0720,2,D,,42,052,B,,11000000000000000,0100,VP,26,0511,19708,,DYW0229,MO,DDA0212,AU,,,SI,,,,
"POINT (-46.55515 -23.595678)",,D011101148,11050,18431,,,2011/01/05,0720,2,D,,42,105,,,11000000000000000,0100,VP,95,0511,11050,18431,DUW7854,MO,DEM7373,AU,,,CL,,,,
"POINT (-46.563921 -23.597516)",,D011101150,05425,,138,,2011/01/09,0745,2,D,,42,190,,,00000001000000000,0100,VP,95,0511,05425,,DJB4070,OU,,,,,QD,,,,
"POINT (-46.539773 -23.584771)",,D011101151,18408,18253,,,2011/01/09,1600,2,D,,42,199,,,11000000000100000,0100,VP,,0511,18253,18408,CMT6217,MO,ENS7083,CM,COH9103,AU,CF,,,,
"POINT (-46.549618 -23.597533)",,D011101152,03510,,587,,2011/01/31,1409,2,D,,42,229,,,01000000000000000,0100,VP,74,0511,03510,,FEL2309,MO,,,,,QM,,,,
"POINT (-46.563458 -23.597349)",,D011101153,05425,,185,,2011/01/31,1530,2,D,,42,230,,,11000000000000000,0200,VP,95,0511,05425,,EQE4765,MO,DZH5586,AU,,,CO,,,,
"POINT (-46.561865 -23.581172)",,D011101155,19708,,1556,,2011/01/16,0056,2,D,,42,380,,,11000000000000000,0200,VP,26,0512,19708,,DYX7076,MO,DSS0664,AU,,,SI,,,,
"POINT EMPTY",,D011101156,24338,75702,,,2011/01/16,1800,2,D,,42,411,,,11000000000000000,0100,FL,,0512,24338,75702,EJN5918,MO,EQH6266,AU,,,CO,,,,
"POINT (-46.559378 -23.610789)",,D011101157,74592,16826,,,2011/01/17,2025,2,D,,42,453,,,21000000000000000,0200,VP,95,0512,06642,74592,ECP2573,MO,BHF1555,AU,EMD2098,AU,CL,,,,
"POINT (-46.544279 -23.58888)",,D011101158,24338,,5339,,2011/01/22,0130,2,D,,42,562,,,10000000100000000,0100,VP,26,0512,24338,,ETP3877,AU,EIL2255,MC,,,CO,,,,
"POINT (-46.547979 -23.601626)",,D011101159,05425,,2050,,2011/01/22,2321,2,D,,42,591,B,,11000000000000000,0100,VP,95,0512,05425,,DRZ1072,MO,DVN8790,AU,,,CO,,,,
"POINT (-46.546937 -23.586159)",,D011101160,24338,,5001,,2011/01/25,2115,2,D,,42,705,C,,10000000000100000,0100,VP,26,0512,24338,,HIG9890,AU,DRA6608,CM,,,CL,,,,
"POINT (-46.548771 -23.583157)",,D011101161,19708,,2929,,2011/01/26,2120,2,D,,42,727,B,,02000000000000000,0200,VP,26,0512,19708,,CNF5768,MO,DRY9338,MO,,,CO,,,,
"POINT (-46.55413 -23.607296)",,D011101162,12532,,01,,2011/01/27,1100,2,D,,42,802,,,20000000000000000,0100,VP,95,0512,12532,,CBN8329,AU,BTF9779,AU,,,CL,,,,
"POINT (-46.540278 -23.591598)",,D011101163,19708,,4215,,2011/01/31,1030,2,D,,42,871,,,20000000000000000,0100,VP,26,0513,19708,,CBG2437,AU,DUI2362,AU,,,CL,,,,
"POINT (-46.562323 -23.529144)",,D011101164,09070,,60,,2011/01/04,1214,2,D,,52,016,,,11000000000000000,0100,BR,82,0514,09070,,DRW8438,MO,DYB1337,AU,,,CF,,,,
